title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Champion,tt9124428,2018,Ekin Koç,Male,Turkey,caretaker
Ikinci Sans,tt5719222,2016,Özcan Deniz,Male,Turkey,restaurant
Çocuklar Sana Emanet,tt7748432,2018,Engin Akyürek,Male,Turkey,architect
Dönerse Senindir,tt6289394,2016,Murat Boz,Male,Turkey,advertising photographer
Ailecek Saskiniz,tt7748426,2018,Ahmet Kural,Male,Turkey,manager
Enes Batur,tt7668842,2018,Enes Batur,Male,Turkey,youtuber
Rüzgar,tt7748226,2018,Belçim Bilgin,Female,Turkey,assistant
Imkansiz Olasilik,tt6084798,2016,Serkan Ercan,Male,Turkey,mathematics teacher
Emanet,tt5777808,2016,Tayanç Ayaydin,Male,Turkey,security guard
Benim Adim Osman,tt7995888,2018,Çilgin Sedat,Male,Turkey,writer
Doru,tt6921614,2017,Dilek Gürel,Male,Turkey,leader
Vultur,tt7777422,2017,Haki Biçici,Male,Turkey,journalist
South Pole,tt5518988,2016,Ayberk Atilla,Male,Turkey,reporter
Umudun Kiyisinda,tt7494084,2017,Levent Sülün,Male,Turkey,photographer
Bergen,tt12578564,2022,Farah Zeynep Abdullah,Female,Turkey,singer
Love Me Instead,tt13161356,2021,Sarp Akkaya,Male,Turkey,guard
Malazgirt 1071,tt11534392,2022,Vildan Atasever,Female,Turkey,queen
James Potter and the Heir of the Sword,tt13559186,2020,Denizhan Akbaba,Male,Turkey,potter
One-Way to Tomorrow,tt11988512,2020,Metin Akdülger,Male,Turkey,lawyer
The Cemil Show,tt11843944,2021,Ozan Çelik,Male,Turkey,actor
Silenced Tree,tt11808250,2020,Serdar Orçin,Male,Turkey,literary
You Know Him,tt11448936,2020,Ercan Kesal,Male,Turkey,dr.
La Belle Indifference,tt10196140,2019,Alican Yücesoy,Male,Turkey,manager
Commitment,tt10860558,2019,Kubra Kip,Male,Turkey,babysitter
Hareket Sekiz,tt10446930,2019,Ali Sunal,Male,Turkey,career
Omar and Us,tt10100506,2019,Cem Bender,Male,Turkey,commander
Feride,tt11440056,2020,Zeynep Çamci,Female,Turkey,designer
Seflerin Sefi,tt13810700,2021,Sermiyan Midyat,Male,Turkey,restaurant
The Second Night,tt9706026,2020,Özgür Biber,Male,Turkey,barber
Fine Dying,tt10267070,2019,Burak Yamantürk,Male,Turkey,chef
Konusma,tt14012134,2020,Özlem Türkad,Female,Turkey,teacher
Name: Human,tt5227668,2020,Umit Sural,Male,Turkey,singer
Iris,tt11468820,2020,Gaye Su Akyol,Female,Turkey,artist
Korlesme,tt11992106,2020,Fatih Al,Male,Turkey,poet
Forty Candles,tt16227748,2020,Esra Bezen Bilgin,Female,Turkey,academic
Aries,tt10268168,2019,Leyla Feray,Female,Turkey,singer
Sakli Krallik,tt14111894,2020,Yurdaer Okur,Male,Turkey,narrator
