title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Fremdgehen,tt1606238,2010,Thomas Sarbacher,Male,Germany,lawyer
Sushi in Suhl,tt0485521,2012,Uwe Steimle,Male,Germany,restaurant
Raju,tt1819651,2011,Wotan Wilke Möhring,Male,Germany,manager
Ein Sommer in Kroatien,tt2353979,2012,Mimi Fiedler,Female,Germany,restaurant
Das Schwein,tt1767299,2010,Greta Bohacek,Female,Germany,veterinarian
Die Lehrerin,tt1734430,2011,Anna Loos,Female,Germany,teacher
"Männer ticken, Frauen anders",tt2066931,2011,Julia Koschitz,Female,Germany,tanner
Familie Fröhlich - Schlimmer geht immer,tt1780832,2010,Jürgen Tarrach,Male,Germany,specialist
Kennedy's Brain,tt1353097,2010,Iris Berben,Female,Germany,cantor
Controlled,tt2154874,2012,Jannik Schümann,Male,Germany,psychologist
Das Mädchen aus dem Regenwald,tt1865445,2011,Christine Neubauer,Female,Germany,dr.
Inspektor Barbarotti - Mensch ohne Hund,tt1644647,2010,Sylvester Groth,Male,Germany,inspektor
Das Geheimnis Mona Lisa,tt3281206,2012,Matthias Euba,Male,Germany,narrator
Dr. Ketel,tt1717153,2011,Ketel Weber,Male,Germany,dr.
Voyage to Metropolis,tt1590010,2010,Hanns Zischler,Male,Germany,narrator
Wer zu lieben wagt,tt1569535,2010,Christine Neubauer,Female,Germany,dr.
Our Little Differences,tt2208272,2012,Leo Bruckmann,Male,Germany,doctor
Der Uranberg,tt1784405,2010,Vinzenz Kiefer,Male,Germany,commander
Und dennoch lieben wir,tt1972818,2011,Claudia Michelsen,Female,Germany,analyst
Eat,tt2218044,2012,Jana Klinge,Female,Germany,assistant
Cindy Does Not Love Me,tt1512102,2010,Clemens Schick,Male,Germany,bartender
Die geerbte Familie,tt1572302,2011,Denise Zich,Female,Germany,tanner
A Day for a Miracle,tt2049424,2011,Ken Duken,Male,Germany,dr.
In den besten Jahren,tt2062556,2011,Senta Berger,Female,Germany,journalist
Weihnachtsengel küsst man nicht,tt2075382,2011,Silke Bodenbender,Female,Germany,singer
"Killerjagd. Schrei, wenn du dich traust",tt1587192,2010,Alexandra Neldel,Female,Germany,dr.
Rosannas Tochter,tt1439254,2010,Veronica Ferres,Female,Germany,scientist
Reality XL,tt2145849,2012,Heiner Lauterbach,Male,Germany,professor
Mörderische Jagd,tt2219026,2012,Hinnerk Schönemann,Male,Germany,detective
Die Akte Golgatha,tt1552987,2010,Marco Girnth,Male,Germany,dr.
