title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Wiatr,tt2166319,1987,Jan Hencz,Male,Poland,farmer
Zelazna reka,tt0098705,1989,Jerzy Kryszak,Male,Poland,servant
Zdaniem obrony: Polowanie na Króla Lira,tt12247330,1993,Emil Karewicz,Male,Poland,lawyer
"Goryl, czyli ostatnie zadanie",tt0095245,1989,Krzysztof Kowalewski,Male,Poland,bodyguard
Dotknieci,tt0095057,1989,Aleksander Bardini,Male,Poland,doctor
Inland Empire,tt0460829,2006,Karolina Gruszka,Female,Poland,prostitute
Poranek kojota,tt0293901,2001,Maciej Stuhr,Male,Poland,waiter
The Dark House,tt1485698,2009,Arkadiusz Jakubik,Male,Poland,zootechnician
It's a Free World...,tt0807054,2007,Kierston Wareing,Female,Poland,dead-end job
Chopin: Desire for Love,tt0284406,2002,Piotr Adamczyk,Male,Poland,composer
Tatarak,tt1360887,2009,Krystyna Janda,Female,Poland,actress
33 Scenes from Life,tt1263736,2008,Julia Jentsch,Female,Poland,composer
Testosteron,tt0865951,2007,Piotr Adamczyk,Male,Poland,ornithologist
Strike,tt0440978,2006,Katharina Thalbach,Female,Poland,welder
Skazany na bluesa,tt0476872,2005,Tomasz Kot,Male,Poland,career
Nigdy nie mów nigdy,tt1529311,2009,Anna Dereszowska,Female,Poland,ama
My Flesh My Blood,tt1471195,2009,Eryk Lubos,Male,Poland,professional boxer
Tricks,tt1094278,2007,Damian Ul,Male,Poland,mechanic
Big Animal,tt0246593,2000,Jerzy Stuhr,Male,Poland,employee
Kameleon,tt0301499,2001,Piotr Machalica,Male,Poland,inspektor
Case Unknown,tt1463403,2009,Borys Szyc,Male,Poland,dr.
Zólty szalik,tt0287815,2000,Janusz Gajos,Male,Poland,chairman
King Ubu,tt0380779,2003,Jan Peszek,Male,Poland,king
"Gulczas, what do you think...",tt0314134,2001,Janusz Chabior,Male,Poland,detective
The Devil from Seventh Grade,tt0494860,2006,Wojciech Malajkat,Male,Poland,professor
Lowcy skór,tt0385061,2003,Tomasz Bednarek,Male,Poland,journalist
Gwiazda Kopernika,tt1869458,2009,Piotr Adamczyk,Male,Poland,merchant
The Boy on the Galloping Horse,tt0810797,2006,Piotr Bajor,Male,Poland,writer
Benek,tt1171669,2007,Marcin Tyrol,Male,Poland,coal miner
Dworzec Gdanski,tt1024196,2007,Teresa Toranska,Male,Poland,interviewer
Nagle na zawsze,tt1530916,2008,Marcin Brzozowski,Male,Poland,actor
Barbórka,tt0480629,2005,Iwona Sitkowska,Female,Poland,worker
Sometime Ago in Africa,tt3717896,2009,Adam Ferency,Male,Poland,narrator
Diabel,tt0802978,2005,Andrzej Grabowski,Male,Poland,doctor
Cienie,tt8388466,2003,Roman Gancarczyk,Male,Poland,doctor
Jest sprawa...,tt1107825,2003,Joanna Kurowska,Female,Poland,teacher
Kurs,tt6690166,2009,Witold Debicki,Male,Poland,driver
Elles,tt1549589,2011,Juliette Binoche,Female,Poland,designer
To Kill a Beaver,tt2084997,2012,Eryk Lubos,Male,Poland,soldier
Zaklina,tt2502386,2012,Monika Fronczek,Female,Poland,teacher
Women's Day,tt2393787,2012,Katarzyna Kwiatkowska,Female,Poland,cashier
Secret,tt2235723,2012,Tomasz Tyndyk,Male,Poland,queen
Mystification,tt1630645,2010,Jerzy Stuhr,Male,Poland,artist
Swiatlo,tt2012029,2011,Jerzy Trela,Male,Poland,narrator
