title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Lilian's Story,tt0113658,1996,Ruth Cracknell,Female,Australia,singer
Feeling Sexy,tt0208948,1999,Susie Porter,Female,Australia,artist
The Dreaming,tt0095064,1988,Arthur Dignam,Male,Australia,professor
Lorca and the Outlaws,tt0090068,1984,John Tarrant,Male,Australia,hunter
The Club,tt0080546,1980,Jack Thompson,Male,Australia,coach
Gross Misconduct,tt0107046,1993,Naomi Watts,Female,Australia,professor
Bloodmoon,tt0096954,1990,Leon Lissek,Male,Australia,officer
High Tide,tt0095305,1987,Judy Davis,Female,Australia,impersonator
Hercules Returns,tt0107103,1993,David Argue,Male,Australia,employee
The Winner,tt0118174,1996,Rebecca De Mornay,Female,Australia,singer
...Maybe This Time,tt0080311,1980,Judy Morris,Female,Australia,assistant
Running on Empty,tt0084616,1982,Terry Serio,Male,Australia,racer
Winter of Our Dreams,tt0083331,1981,Judy Davis,Female,Australia,prostitute
Archer,tt0088735,1985,Brett Climo,Male,Australia,trainer
For Love Alone,tt0091067,1986,Helen Buday,Female,Australia,banker
Turtle Beach,tt0103141,1992,Greta Scacchi,Female,Australia,reporter
Midnite Spares,tt0085939,1983,James Laurie,Male,Australia,driver
One Night Stand,tt0087844,1984,Tyler Coppin,Male,Australia,sailor
Dr. Jekyll and Mr. Hyde,tt0821767,1986,Max Meldrum,Male,Australia,dr.
The Pirates of Penzance,tt0187403,1994,Jon English,Male,Australia,king
Alice Through the Looking Glass,tt0101294,1987,Janet Waldo,Female,Australia,queen
Antarctica,tt0101357,1991,Alex Scott,Male,Australia,narrator
Paperback Romance,tt0110405,1994,Gia Carides,Female,Australia,writer
Kick,tt0138531,1999,Russell Page,Male,Australia,player
Freedom,tt0083971,1982,Jon Blake,Male,Australia,machinist
Me Myself I,tt0183503,1999,Rachel Griffiths,Female,Australia,journalist
Daydream Believer,tt0101953,1992,Miranda Otto,Female,Australia,actress
Cool Change,tt0090876,1986,Jon Blake,Male,Australia,ranger
Run Chrissie Run!,tt0123248,1984,Carmen Duncan,Female,Australia,biker
Backstage,tt0094700,1988,Laura Branigan,Female,Australia,singer
Treasure Island,tt0787225,1987,Ross Higgins,Male,Australia,cook
Norman Loves Rose,tt0084419,1982,Carol Kane,Female,Australia,dentist
Street Hero,tt0088192,1984,Vince Colosimo,Male,Australia,courier
The Girl from Tomorrow,tt0104343,1992,Katharine Cullen,Female,Australia,teacher
"20,000 Leagues Under the Sea",tt0498755,1985,Tom Burlinson,Male,Australia,master
Singapore Sling,tt0108140,1994,John Waters,Male,Australia,detective
Epic,tt0296620,1985,Benita Collings,Female,Australia,narrator
Breakfast in Paris,tt0083691,1982,Barbara Parkins,Female,Australia,executive
Cappuccino,tt0097012,1989,John Clayton,Male,Australia,actor
Ivanhoe,tt0821787,1986,Lewis Fitz-Gerald,Male,Australia,noble
The Killing of Angel Street,tt0082614,1981,Elizabeth Alexander,Female,Australia,professor
True Love and Chaos,tt0117975,1997,Miranda Otto,Female,Australia,singer
Chameleon II: Death Match,tt0218091,1999,Bobbie Phillips,Female,Australia,government agent
Tale of a Tiger,tt0092045,1984,Grant Navin,Male,Australia,model
Dot and the Koala,tt0089042,1985,Robyn Moore,Female,Australia,mayor
Exile,tt0109757,1994,Aden Young,Male,Australia,maid
Strike of the Panther,tt0096183,1988,Edward John Stazak,Male,Australia,artist
