title,release_year,main_character_name,main_character_gender,country
Bajo el signo de la patria,1971,Ignacio Quirós,Male,Argentina
Odd Number,1962,Lautaro Murúa,Male,Argentina
El veraneo de los Campanelli,1971,Alberto Anchart,Male,Argentina
The Inheritors,1970,Norma Aleandro,Female,Argentina
Body Shop,1974,Jorge Porcel,Male,Argentina
"Olga, la hija de aquella princesa rusa",1972,Eduardo Bergara Leumann,Male,Argentina
America's Fat,1976,Jorge Porcel,Male,Argentina
The Old Young People,1962,María Vaner,Female,Argentina
Amorina,1961,Tita Merello,Female,Argentina
El perseguidor,1965,Inda Ledesma,Female,Argentina
Flooded Out,1962,Pirucho Gómez,Male,Argentina
Los superagentes no se rompen,1979,Ricardo Bauleo,Male,Argentina
Quebracho,1974,Héctor Alterio,Male,Argentina
The Hour of Mary and the Bird of Gold,1975,Leonor Manso,Female,Argentina
Las aventuras del Capitán Piluso en el castillo del terror,1963,Alberto Olmedo,Male,Argentina
La Venus maldita,1967,Libertad Leblanc,Female,Argentina
"To Dream, to Dream",1976,Gian Franco Pagliaro,Male,Argentina
Cuando calienta el sol,1964,Perla Alvarado,Female,Argentina
Cacique Bandeira,1975,Thelma Biral,Female,Argentina
Ché OVNI,1968,Jorge Sobral,Male,Argentina
The Terrace,1963,Graciela Borges,Female,Argentina
A puerta cerrada,1962,María Aurelia Bisutti,Female,Argentina
Far Away and Long Ago,1978,Juan José Camero,Male,Argentina
Proceso a la infamia,1978,Luis Aranda,Male,Argentina
Tourists Want Sex,1977,Alberto Olmedo,Male,Argentina
Tres veces Ana,1961,María Vaner,Female,Argentina
Shunko,1960,Lautaro Murúa,Male,Argentina
El despertar del sexo,1963,Nora Cárpena,Female,Argentina
Los viciosos,1962,Jorge Acuña,Male,Argentina
Husband's Holiday,1975,Jorge Porcel,Male,Argentina
Lujuria tropical,1963,Isabel Sarli,Female,Argentina
La sonrisa de mamá,1972,Liliana Abayieva,Male,Argentina
"Sábado a la noche, cine",1960,Gilda Lousek,Female,Argentina
La calesita,1963,Hugo del Carril,Male,Argentina
Chronicle of a Lady,1971,Graciela Borges,Female,Argentina
Las procesadas,1975,Liliana Abayieva,Male,Argentina
La patota,1960,Mirtha Legrand,Female,Argentina
Kill and Be Killed,1962,Olga Zubarry,Female,Argentina
Hombre que cambió de nombre,1960,Mario Lozano,Male,Argentina
Los vampiros los prefieren gorditos,1974,Jorge Porcel,Male,Argentina
Intimidad de los parques,1965,Dora Baret,Female,Argentina
Paño verde,1973,Carlos Estrada,Male,Argentina
Vivir con alegría,1979,Luis Sandrini,Male,Argentina
El Fausto criollo,1979,Daniel Fanego,Male,Argentina
Male and Female Since Adam and Eve,1961,Carlos Cores,Male,Argentina
El picnic de los Campanelli,1972,Adolfo Linvel,Male,Argentina
Love Hunger,1962,Libertad Leblanc,Female,Argentina
Hay que parar la delantera,1977,Alberto Anchart,Male,Argentina
El último amor en Tierra del Fuego,1979,Isabel Sarli,Female,Argentina
Ya tiene comisario el pueblo,1967,Niní Marshall,Female,Argentina
Amor y un poco más,1968,Atilio Marinelli,Male,Argentina
The Little Parade,1961,Marujita Díaz,Female,Argentina
He nacido en la ribera,1972,Susana Giménez,Female,Argentina
The Blonde from Buenos Aires,1961,Mamie Van Doren,Female,Argentina
Héroes de blanco,1962,Mercedes Carreras,Female,Argentina
Juan que reía,1976,Luis Brandoni,Male,Argentina
The Party Is Over,1960,Arturo García Buhr,Male,Argentina
Libertad bajo palabra,1961,Ubaldo Martínez,Male,Argentina
Accidente 703,1962,Nuria Torray,Female,Argentina
La culpa,1969,Héctor Armendáriz,Male,Argentina
Argentino hasta la muerte,1971,Héctor Alterio,Male,Argentina
Convención de vagabundos,1965,Graciela Borges,Female,Argentina
40 años de novios,1963,Lolita Torres,Female,Argentina
La fidelidad,1970,Carlos Estrada,Male,Argentina
La pérgola de las flores,1965,Marujita Díaz,Female,Argentina
El amor infiel,1974,Héctor Alterio,Male,Argentina
Hotel alojamiento,1966,Emilio Alfaro,Male,Argentina
Violated Love,1963,Libertad Leblanc,Female,Argentina
Fatso Catastrophe,1977,Jorge Porcel,Male,Argentina
Vení conmigo,1973,Susana Giménez,Female,Argentina
I Need a Mother,1966,Guillermo Battaglia,Male,Argentina
Los chiflados del batallón,1975,Adriana Aguirre,Female,Argentina
...Y mañana serán hombres,1979,Antonio Grimau,Male,Argentina
La piel del amor,1973,Susana Giménez,Female,Argentina
"Alejandra, mon amour",1979,Manolo Escobar,Male,Argentina
Heat,1960,Isabel Sarli,Female,Argentina
Paula cautiva,1963,Susana Freyre,Female,Argentina
Mosaico,1970,Aldo Bigatti,Male,Argentina
Una ventana al éxito,1966,Juan Ramón,Male,Argentina
La burrerita de Ypacaraí,1962,Isabel Sarli,Female,Argentina
Hoy le toca a mi mujer,1973,Edith Boado,Female,Argentina
Los superagentes biónicos,1977,Ricardo Bauleo,Male,Argentina
La casa de Madame Lulù,1968,Libertad Leblanc,Female,Argentina
La aventura de los paraguas asesinos,1979,Ricardo Bauleo,Male,Argentina
No toquen a la nena,1976,Luis Politti,Male,Argentina
Newcomers to Love,1969,Amelia Bence,Female,Argentina
El rey en Londres,1966,Palito Ortega,Male,Argentina
Dar la cara,1962,Leonardo Favio,Male,Argentina
The Sun in the Mirror,1963,Yvonne Bastien,Female,Argentina
La pandilla inolvidable,1972,Pablo Codevila,Male,Argentina
Carmiña: Su historia de amor,1975,María de los Ángeles Medrano,Female,Argentina
The ABC of Love,1967,Jorge Rivera López,Male,Argentina
La señora del intendente,1967,Isabel Sarli,Female,Argentina
A Bravo of the 1900's,1971,Juan Alighieri,Male,Argentina
Un toque diferente,1977,Marta Albertini,Female,Argentina
Heroine,1972,Graciela Borges,Female,Argentina
Las sorpresas,1975,Juana Hidalgo,Female,Argentina
Broken Comedy,1978,Julia von Grolman,Female,Argentina
Basta de mujeres,1977,Alberto Olmedo,Male,Argentina
Así o de otra manera,1964,Mario Passano,Male,Argentina
Die vereinte Familie in Erwartung von Hallewyns Rückkehr,1971,Osvaldo De la Vega,Male,Argentina
Tercer Mundo,1962,Pedro Aleandro,Male,Argentina
Romeo y Julieta,1966,Rodolfo Bebán,Male,Argentina
El turista,1963,José Marrone,Male,Argentina
Coche cama alojamiento,1968,Juan Carlos Altavista,Male,Argentina
Los médicos,1978,Claudio García Satur,Male,Argentina
El salame,1969,Juan Carlos Altavista,Male,Argentina
Paula contra la mitad más uno,1971,Héctor Pellegrini,Male,Argentina
