title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Le Crabe-Tambour,tt0075885,1977,Jean Rochefort,Male,France,commandant
Testament of Orpheus,tt0054377,1960,Jean Cocteau,Male,France,poet
Love Is a Funny Thing,tt0065146,1969,Jean-Paul Belmondo,Male,France,composer
The World's Most Beautiful Swindlers,tt0058480,1964,Mie Hama,Female,France,geisha
The Two of Us,tt0063771,1967,Michel Simon,Male,France,character actor
I Will Walk Like a Crazy Horse,tt0070235,1973,Gerard Borlant,Male,France,concierge
And Hope to Die,tt0068420,1972,Jean-Louis Trintignant,Male,France,leader
The Bakery Girl of Monceau,tt0056884,1963,Barbet Schroeder,Male,France,narrator
Noroît,tt0074974,1976,Geraldine Chaplin,Female,France,spy
Magnet of Doom,tt0056845,1963,Jean-Paul Belmondo,Male,France,banker
In Hell,tt0219058,1976,Olga Karlatos,Female,France,actress
The Exchange Student,tt0060475,1967,Louis de Funès,Male,France,headmaster
Just Before Nightfall,tt0073221,1971,Michel Bouquet,Male,France,executive
The Little Bather,tt0062120,1968,Louis de Funès,Male,France,superstar
Viva Maria!,tt0059956,1965,Brigitte Bardot,Female,France,singer
The Smurfs and the Magic Flute,tt0074539,1976,Georges Atlas,Male,France,seneschal
The Olive Trees of Justice,tt0253387,1962,Pierre Prothon,Male,France,narrator
L'amour fou,tt0062663,1969,Bulle Ogier,Female,France,director
"Oh, diese Frauen",tt0064324,1969,Brigitte Bardot,Female,France,writer
The Seven Deadly Sins,tt0056467,1961,Danièle Barraud,Male,France,prostitute
A Very Curious Girl,tt0064327,1969,Bernadette Lafont,Female,France,capitalist
"Elle boit pas, elle fume pas, elle drague pas, mais... elle cause!",tt0065686,1970,Annie Girardot,Female,France,cashier
Daisy Town,tt0145891,1971,Marcel Bozzuffi,Male,France,jumper
Seven Golden Men,tt0059707,1965,Rossana Podestà,Female,France,professor
Adieu Philippine,tt0143088,1962,Jean-Claude Aimini,Male,France,technician
And Now My Love,tt0072307,1974,Marthe Keller,Female,France,restaurant
One Night... a Train,tt0063737,1968,Yves Montand,Male,France,linguist
Yuka,tt0070118,1974,Wal Davis,Male,France,traveler
The Bear and the Doll,tt0064779,1970,Brigitte Bardot,Female,France,musician
The Big Delirium,tt0073079,1975,Jean Seberg,Female,France,farmer
The Heist,tt0065080,1970,Robert Hossein,Male,France,inspector
Rosalie,tt0060914,1966,Ligia Branice,Female,France,king
Barocco,tt0074184,1976,Isabelle Adjani,Female,France,boxer
Nocturnal Uproar,tt0134993,1979,Dominique Laffin,Female,France,filmmaker
The Middle of the World,tt0071842,1974,Olimpia Carlisi,Female,France,restaurant
The Hypothesis of the Stolen Painting,tt0077707,1978,Jean Rougeul,Male,France,collector
Two Weeks in September,tt0062534,1967,Brigitte Bardot,Female,France,model
Creezy,tt0070588,1974,Alain Delon,Male,France,leader
The Elusive Corporal,tt0055827,1962,Jean-Pierre Cassel,Male,France,companion
The Road to Corinth,tt0063526,1967,Jean Seberg,Female,France,monitor
The Taking of Power by Louis XIV,tt0060860,1966,Jean-Marie Patte,Male,France,king
