Title,Country,Release Year,Main Character Name,Main Character Gender,Main Character Role
Mighty Morphin Power Rangers: The Movie,Australia,1995,Karan Ashley,Female,ranger
The Man from Snowy River,Australia,1982,Tom Burlinson,Male,leader
The Year of Living Dangerously,Australia,1982,Linda Hunt,Female,foreign correspondent
Gallipoli,Australia,1981,Mark Lee,Male,sprinter
Shine,Australia,1996,Geoffrey Rush,Male,pianist
Bad Boy Bubby,Australia,1993,Nicholas Hope,Male,career
The Power of One,Australia,1992,Nomadlozi Kubheka,Male,nanny
Holy Smoke,Australia,1999,Kate Winslet,Female,specialist
Phar Lap,Australia,1983,Tom Burlinson,Male,preparation
Wide Sargasso Sea,Australia,1993,Karina Lombard,Female,heiress
A Cry in the Dark,Australia,1988,Meryl Streep,Female,chamberlain
Agatha Christie's Miss Marple: The Murder at the Vicarage,Australia,1986,Joan Hickson,Female,inspector
Paradise Road,Australia,1997,Glenn Close,Female,volunteer
An Angel at My Table,Australia,1990,Kerry Fox,Female,author
The Delinquents,Australia,1989,Kylie Minogue,Female,caretaker
Young Einstein,Australia,1988,Yahoo Serious,Male,farmer
Dead End Drive-In,Australia,1986,Ned Manning,Male,responsible
Howling III,Australia,1987,Barry Otto,Male,professor
Bliss,Australia,1985,Barry Otto,Male,executive
Dallas Doll,Australia,1994,Sandra Bernhard,Female,consultant
Fatal Bond,Australia,1991,Linda Blair,Female,hairdresser
The Chain Reaction,Australia,1980,Steve Bisley,Male,mechanic
Lilian's Story,Australia,1996,Ruth Cracknell,Female,singer
Lorca and the Outlaws,Australia,1984,John Tarrant,Male,hunter
Bloodmoon,Australia,1990,Leon Lissek,Male,officer
High Tide,Australia,1987,Judy Davis,Female,impersonator
...Maybe This Time,Australia,1980,Judy Morris,Female,assistant
Winter of Our Dreams,Australia,1981,Judy Davis,Female,prostitute
Turtle Beach,Australia,1992,Greta Scacchi,Female,reporter
The Pirates of Penzance,Australia,1994,Jon English,Male,king
Antarctica,Australia,1991,Alex Scott,Male,narrator
Kick,Australia,1999,Russell Page,Male,player
Run Chrissie Run!,Australia,1984,Carmen Duncan,Female,biker
Epic,Australia,1985,Benita Collings,Female,narrator
Cappuccino,Australia,1989,John Clayton,Male,actor
Never Tell Me Never,Australia,1998,Claudia Karvan,Female,shepherd
A Little Bit of Soul,Australia,1998,Geoffrey Rush,Male,treasurer
Patience,Australia,1995,Christine Douglas,Male,poet
Moulin Rouge!,Australia,2001,Nicole Kidman,Female,proprietor
Rogue,Australia,2007,Radha Mitchell,Female,researcher
Rumor Has It...,Australia,2005,Jennifer Aniston,Female,writer
Two Weeks Notice,Australia,2002,Sandra Bullock,Female,lawyer
Candy,Australia,2006,Abbie Cornish,Female,poet
The Loved Ones,Australia,2009,Xavier Samuel,Male,officer
Bright Star,Australia,2009,Abbie Cornish,Female,poet
Beowulf & Grendel,Australia,2005,Hringur Ingvarsson,Male,king
Restraint,Australia,2008,Travis Fimmel,Male,dealer
Lantana,Australia,2001,Anthony LaPaglia,Male,detective
Death Defying Acts,Australia,2007,Guy Pearce,Male,illusionist
Somersault,Australia,2004,Abbie Cornish,Female,restaurant
The Monkey's Mask,Australia,2000,Susie Porter,Female,officer
Saw,Australia,2003,Leigh Whannell,Male,officer
Japanese Story,Australia,2003,Toni Collette,Female,director
The Crocodile Hunter: Collision Course,Australia,2002,Steve Irwin,Male,hunter
The Tender Hook,Australia,2008,Rose Byrne,Female,boxer
Ten Canoes,Australia,2006,Crusoe Kurddal,Male,warrior
One Perfect Day,Australia,2004,Dan Spielman,Male,musician
Cthulhu,Australia,2000,Paul Douglas,Male,inspector
The Vow,Australia,2012,Rachel McAdams,Female,doctor
The Reef,Australia,2010,Damian Walshe-Howling,Male,sailor
Legend of the Guardians: The Owls of Ga'Hoole,Australia,2010,Emily Barclay,Female,soldier
Sanctum,Australia,2011,Richard Roxburgh,Male,master
The Eye of the Storm,Australia,2011,Charlotte Rampling,Female,hunter
Any Questions for Ben?,Australia,2012,Josh Lawson,Male,lawyer
Pan,Australia,2015,Hugh Jackman,Male,warrior
Strangerland,Australia,2015,Nicole Kidman,Female,pharmacist
The Rover,Australia,2014,Guy Pearce,Male,doctor
Mystery Road,Australia,2013,Aaron Pedersen,Male,detective
The Killing Field,Australia,2014,Rebecca Gibney,Female,detective
One Eyed Girl,Australia,2013,Tilda Cobham-Hervey,Female,psychiatrist
Gods of Egypt,Australia,2016,Brenton Thwaites,Male,architect
Hotel Mumbai,Australia,2018,Amandeep Singh,Male,guard
The Nightingale,Australia,2018,Aisling Franciosi,Female,officer
Breath,Australia,2017,Samson Coulter,Male,paramedic
Alex & Eve,Australia,2016,Andrea Demetriades,Female,lawyer
Rip Tide,Australia,2017,Debby Ryan,Female,director
Brahms: The Boy II,Australia,2020,Katie Holmes,Female,therapist
Captain Marvel,Australia,2019,Brie Larson,Female,commander
Infinite Storm,Australia,2022,Naomi Watts,Female,volunteer
The Dry,Australia,2020,Eric Bana,Male,agent
Back to the Outback,Australia,2021,Eric Bana,Male,zookeeper
Peter Rabbit 2: The Runaway,Australia,2021,Rose Byrne,Female,publisher
Awoken,Australia,2019,Erik Thomson,Male,instructor
The Menzies Movies,Australia,2022,John Howard,Male,minister
Dona Flor and Her Two Husbands,Brazil,1976,Sônia Braga,Female,pharmacist
"Black God, White Devil",Brazil,1964,Geraldo Del Rey,Male,ranch hand
Entranced Earth,Brazil,1967,Jardel Filho,Male,politician
Roberto Carlos a 300 Quilômetros por Hora,Brazil,1971,Roberto Carlos,Male,car dealer
Barren Lives,Brazil,1963,Átila Iório,Male,officer
O Bandido da Luz Vermelha,Brazil,1968,Helena Ignez,Female,politician
Amor Bandido,Brazil,1979,Paulo Gracindo,Male,investigator
The Priest and the Girl,Brazil,1966,Helena Ignez,Female,merchant
Dezenove Mulheres e Um Homem,Brazil,1977,David Cardoso,Male,driver
Assault on the Pay Train,Brazil,1962,Eliezer Gomes,Male,leader
O Prisioneiro do Sexo,Brazil,1978,Sandra Bréa,Female,architect
Anjo Loiro,Brazil,1973,Mário Benvenutti,Male,teacher
O Grande Xerife,Brazil,1972,Amácio Mazzaropi,Male,responsible
Conjugal Warfare,Brazil,1974,Lima Duarte,Male,doctor
Copacabana Mon Amour,Brazil,1970,Helena Ignez,Female,prostitute
Hallucinations of a Deranged Mind,Brazil,1978,José Mojica Marins,Male,filmmaker
Grande Sertão,Brazil,1965,Maurício do Valle,Male,cowboy
O Desejo,Brazil,1975,Lilian Lemmertz,Female,intellectual
007 1/2 no Carnaval,Brazil,1966,Larry Carr,Male,agent
Quando as Mulheres Querem Provas,Brazil,1975,Carlo Mossy,Male,hostess
O Homem Nu,Brazil,1968,Paulo José,Male,writer
Tristeza do Jeca,Brazil,1961,Amácio Mazzaropi,Male,mayor
A Ilha dos Paqueras,Brazil,1970,Renato Aragão,Male,passenger
Meteorango Kid: Herói Intergalático,Brazil,1969,Antônio Luiz Martins,Male,activist
O Homem de Papel,Brazil,1976,Milton Moraes,Male,reporter
Love Strange Love,Brazil,1982,Vera Fischer,Female,politician
Gabriela,Brazil,1983,Sônia Braga,Female,cook
Bye Bye Brazil,Brazil,1980,José Wilker,Male,magician
They Don't Wear Black Tie,Brazil,1981,Gianfrancesco Guarnieri,Male,leader
Hans Staden,Brazil,1999,Carlos Evelyn,Male,sailor
Mulher Objeto,Brazil,1981,Helena Ramos,Female,secretary
The Girl and the Rapist,Brazil,1983,Zózimo Bulbul,Male,butler
Isle of Flowers,Brazil,1989,Paulo José,Male,narrator
Panic at Midnight,Brazil,1997,Luke Kaleghan,Male,deputy
Cassiopeia,Brazil,1996,Osmar Prado,Male,scientist
Mal,Brazil,1999,Pauline Cadell,Female,lawyer
Happily Ever After,Brazil,1985,Regina Duarte,Female,designer
"Amor, palavra prostituta",Brazil,1982,Orlando Parolini,Male,teacher
The Mandarin,Brazil,1995,Fernando Eiras,Male,singer
Tentação na Cama,Brazil,1984,David Cardoso,Male,assistant
O Diabo na Cama,Brazil,1988,Ankito,Male,waiter
Razor in the Flesh,Brazil,1997,Vera Fischer,Female,prostitute
Subway to the Stars,Brazil,1987,Guilherme Fontes,Male,player
Eternamente Pagú,Brazil,1987,Carla Camurati,Female,muse
Como Nascem os Anjos,Brazil,1996,Priscila Assum,Female,driver
Perfume de Gardênia,Brazil,1992,Christiane Torloni,Female,driver
Vagas Para Moças de Fino Trato,Brazil,1993,Norma Bengell,Female,teacher
O Corpo,Brazil,1991,Antônio Fagundes,Male,dancer
Jubiabá,Brazil,1986,Grande Otelo,Male,pai-de-santo
A Matadeira,Brazil,1994,Pedro Cardoso,Male,professor
A Mulher do Atirador de Facas,Brazil,1984,Carla Camurati,Female,shooter
Corpo em Delito,Brazil,1990,Lima Duarte,Male,doctor
City of God,Brazil,2002,Alexandre Rodrigues,Male,narrator
Carandiru,Brazil,2003,Luiz Carlos Vasconcelos,Male,physician
Camila Jam,Brazil,2007,Leandra Leal,Female,writer
To the Left of the Father,Brazil,2001,Selton Mello,Male,farmer
The Year My Parents Went on Vacation,Brazil,2006,Michel Joelsas,Male,goalkeeper
Last Stop 174,Brazil,2008,Michel Gomes,Male,teacher
Cazuza: Time Doesn't Stop,Brazil,2004,Daniel de Oliveira,Male,career
The Assailant,Brazil,2009,Aílton Carmo,Male,fighter
Olga,Brazil,2004,Camila Morgado,Female,leader
Tolerance,Brazil,2000,Maitê Proença,Female,lawyer
Linha de Passe,Brazil,2008,Sandra Corveloni,Female,cleaner
Delicate Crime,Brazil,2005,Marco Ricca,Male,critic
Zuzu Angel,Brazil,2006,Patricia Pillar,Female,designer
Smoke Gets in Your Eyes,Brazil,2009,Glória Pires,Female,teacher
A Grande Família: O Filme,Brazil,2007,Marco Nanini,Male,functionary
