Title,Country,Release Year,Main Character Name,Main Character Gender,Main Character Role
Mowaten we mokhber we haramy,Egypt,2001,Kal Naga,Male,detective
Transit Prisoner,Egypt,2008,Ahmed Ezz,Male,guard
Al-naama wa al tawoos,Egypt,2002,Lebleba,Female,doctor
Kan yom hobak,Egypt,2004,Khaled Selim,Male,artist
None But That!,Egypt,2006,Nabila Ebeid,Female,hunter
18 Days,Egypt,2011,Ahmed Helmy,Male,tailor
Bebo Wa Bashir,Egypt,2011,Menna Shalabi,Female,player
The Blue Elephant,Egypt,2014,Karim Abdel Aziz,Male,doctor
Factory Girl,Egypt,2013,Yasmin Raeis,Female,factory worker
The Price,Egypt,2015,Amr Youssef,Male,driver
Tisbah ala Khair,Egypt,2017,Tamer Hosny,Male,engineer
"Ali, the Goat and Ibrahim",Egypt,2016,Asser Yassin,Male,officer
The Blue Elephant 2,Egypt,2019,Karim Abdel Aziz,Male,doctor
Luxor,Egypt,2020,Andrea Riseborough,Female,worker
Dedo,Egypt,2021,Karim Fahmy,Male,scientist
Aladdin,Egypt,2020,Ahmed Ezz,Male,tailor
The Naiad,Egypt,2019,Hanan Turk,Female,doctor
Barbarella,France,1968,Jane Fonda,Female,astronaut
The Story of O,France,1975,Corinne Cléry,Female,photographer
La Piscine,France,1969,Alain Delon,Male,writer
Fantastic Planet,France,1973,Jennifer Drake,Male,master
Purple Noon,France,1960,Alain Delon,Male,forger
The Conformist,France,1970,Jean-Louis Trintignant,Male,professor
Going Places,France,1974,Gérard Depardieu,Male,doctor
Le Samouraï,France,1967,Alain Delon,Male,hitman
Fantomas,France,1964,Jean Marais,Male,journalist
Shining Sex,France,1976,Lina Romay,Female,dancer
Day for Night,France,1973,Jacqueline Bisset,Female,baker
Alphaville,France,1965,Eddie Constantine,Male,agent
La Jetée,France,1962,Jean Négroni,Male,narrator
The Road to Salina,France,1970,Mimsy Farmer,Female,sheriff
Au hasard Balthazar,France,1966,Anne Wiazemsky,Female,teacher
Emmanuelle 3,France,1977,Sylvia Kristel,Female,architect
The Last Woman,France,1976,Gérard Depardieu,Male,engineer
La Chinoise,France,1967,Anne Wiazemsky,Female,official
Celine and Julie Go Boating,France,1974,Juliet Berto,Female,nanny
Tarzoon: Shame of the Jungle,France,1975,Bernard Dhéran,Male,narrator
Get Out Your Handkerchiefs,France,1978,Gérard Depardieu,Male,restaurant
Lola,France,1961,Anouk Aimée,Female,dancer
A Cop,France,1972,Alain Delon,Male,commissioner
Trans-Europ-Express,France,1966,Jean-Louis Trintignant,Male,newspaper
More,France,1969,Mimsy Farmer,Female,miller
The Legend of Frenchie King,France,1971,Brigitte Bardot,Female,miller
"Farewell, Friend",France,1968,Alain Delon,Male,doctor
Zazie dans le Métro,France,1960,Catherine Demongeot,Female,restaurant
Death of a Corrupt Man,France,1977,Alain Delon,Male,deputy
Blanche,France,1971,Michel Simon,Male,master
Buffet Froid,France,1979,Gérard Depardieu,Male,accountant
A Very Private Affair,France,1962,Brigitte Bardot,Female,producer
Suzanne's Career,France,1963,Catherine Sée,Male,narrator
The World's Most Beautiful Swindlers,France,1964,Mie Hama,Female,geisha
Viva Maria!,France,1965,Brigitte Bardot,Female,singer
Nocturnal Uproar,France,1979,Dominique Laffin,Female,filmmaker
Black Tights,France,1961,Maurice Chevalier,Male,narrator
Irma Vep,France,1996,Maggie Cheung,Female,actress
The Lover,France,1992,Jeanne Moreau,Female,narrator
Possession,France,1981,Isabelle Adjani,Female,spy
La Haine,France,1995,Vincent Cassel,Male,driver
Betty Blue,France,1986,Jean-Hugues Anglade,Male,writer
"The Cook, the Thief, His Wife & Her Lover",France,1989,Richard Bohringer,Male,restaurant
The Big Blue,France,1988,Rosanna Arquette,Female,baker
Nikita,France,1990,Anne Parillaud,Female,restaurant
Three Colors: Blue,France,1993,Juliette Binoche,Female,composer
Tender Cousins,France,1980,Thierry Tevini,Male,professor
Three Colors: Red,France,1994,Irène Jacob,Female,model
The Double Life of Véronique,France,1991,Irène Jacob,Female,director
The Lost Son,France,1999,Daniel Auteuil,Male,call girl
Madeline,France,1998,Frances McDormand,Female,chef
Cyrano de Bergerac,France,1990,Gérard Depardieu,Male,poet
Gandahar,France,1987,Pierre-Marie Escourrou,Male,leader
Hail Mary,France,1985,Myriem Roussel,Female,driver
Le Dîner de Cons,France,1998,Thierry Lhermitte,Male,publisher
Summer,France,1986,Marie Rivière,Female,companion
À Nos Amours,France,1983,Sandrine Bonnaire,Female,furrier
Rosetta,France,1999,Émilie Dequenne,Female,manager
La Cérémonie,France,1995,Isabelle Huppert,Female,maid
Boyfriends and Girlfriends,France,1987,Emmanuelle Chaulet,Female,clerk
Un Coeur en Hiver,France,1992,Daniel Auteuil,Male,restorer
Danton,France,1983,Gérard Depardieu,Male,barber
The Masters of Time,France,1982,Jean Valmont,Male,commander
A Pure Formality,France,1994,Gérard Depardieu,Male,writer
The Story of O 2,France,1984,Sandra Wey,Female,industrialist
Rendez-vous,France,1985,Lambert Wilson,Male,actor
Boy Meets Girl,France,1984,Denis Lavant,Male,filmmaker
Passion,France,1982,Isabelle Huppert,Female,worker
Bolero,France,1981,Robert Hossein,Male,pianist
Marquise,France,1997,Sophie Marceau,Female,itinerant
Artemisia,France,1997,Michel Serrault,Male,painter
Deadly Games,France,1989,Brigitte Fossey,Female,driver
Un air de famille,France,1996,Jean-Pierre Bacri,Male,executive
North,France,1991,Xavier Beauvois,Male,pharmacist
The Lady Banker,France,1980,Romy Schneider,Female,banker
Wild Target,France,1993,Jean Rochefort,Male,hitman
Three Seats for the 26th,France,1988,Yves Montand,Male,career
The Devil Wears Prada,France,2006,Meryl Streep,Female,assistant
Mulholland Drive,France,2001,Naomi Watts,Female,actress
Martyrs,France,2008,Morjana Alaoui,Female,assistant
The Interpreter,France,2005,Nicole Kidman,Female,interpreter
Femme Fatale,France,2002,Rebecca Romijn,Female,mercenary
Swimming Pool,France,2003,Charlotte Rampling,Female,author
The Man Who Cried,France,2000,Christina Ricci,Female,officer
Inside,France,2007,Alysson Paradis,Female,photographer
Asterix & Obelix: Mission Cleopatra,France,2002,Gérard Depardieu,Male,architect
La fonte des neiges,France,2009,Marc Beffa,Male,extra
Bright Star,France,2009,Abbie Cornish,Female,poet
The Crimson Rivers,France,2000,Jean Reno,Male,detective
The Chorus,France,2004,Gérard Jugnot,Male,teacher
Immortal,France,2004,Linda Hardy,Female,turner
Just Visiting,France,2001,Jean Reno,Male,king
The Class,France,2008,François Bégaudeau,Male,teacher
Ruby & Quentin,France,2003,Gérard Depardieu,Male,detective
The Beat That My Heart Skipped,France,2005,Romain Duris,Male,broker
Satan,France,2006,Vincent Cassel,Male,shepherd
99 francs,France,2007,Jean Dujardin,Male,designer
Rust and Bone,France,2012,Marion Cotillard,Female,guard
Amour,France,2012,Jean-Louis Trintignant,Male,caretaker
Elles,France,2011,Juliette Binoche,Female,designer
Uncle Boonmee Who Can Recall His Past Lives,France,2010,Thanapat Saisaymar,Male,assistant
The Extraordinary Adventures of Adèle Blanc-Sec,France,2010,Louise Bourgoin,Female,writer
Nobody Else But You,France,2011,Jean-Paul Rouve,Male,author
Blue Is the Warmest Colour,France,2013,Léa Seydoux,Female,tutor
Lucy,France,2014,Scarlett Johansson,Female,miller
A Bigger Splash,France,2015,Tilda Swinton,Female,filmmaker
Stranger by the Lake,France,2013,Pierre Deladonchamps,Male,investigator
My King,France,2015,Vincent Cassel,Male,restaurateur
Mune: Guardian of the Moon,France,2014,Omar Sy,Male,apprentice
Incident in a Ghostland,France,2018,Crystal Reed,Female,author
Personal Shopper,France,2016,Kristen Stewart,Female,supermodel
Double Lover,France,2017,Marine Vacth,Female,psychoanalyst
Our Kind of Traitor,France,2016,Carlos Acosta,Male,dancer
City Hunter,France,2018,Philippe Lacheau,Male,private investigator
MFKZ,France,2017,Orelsan,Male,restaurant
Titane,France,2021,Vincent Lindon,Male,apprentice
Benedetta,France,2021,Virginie Efira,Female,prayer
Portrait of a Lady on Fire,France,2019,Noémie Merlant,Female,painter
The Stronghold,France,2020,Gilles Lellouche,Male,officer
Fire,France,2022,Juliette Binoche,Female,presenter
"Mektoub, My Love: Intermezzo",France,2019,Shaïn Boumedine,Male,photographer
Goliath,France,2022,Gilles Lellouche,Male,lawyer
The Rose Maker,France,2020,Catherine Frot,Female,grower
Run Lola Run,Germany,1998,Franka Potente,Female,responsible
Aimee & Jaguar,Germany,1999,Maria Schrader,Female,officer
Nekromantik 2,Germany,1991,Monika M.,Male,gravedigger
Backbeat,Germany,1994,Sheryl Lee,Female,photographer
"Faraway, So Close!",Germany,1993,Otto Sander,Male,armor
Lisbon Story,Germany,1994,Rüdiger Vogler,Male,engineer
Beyond Silence,Germany,1996,Sylvie Testud,Female,musician
Schtonk,Germany,1992,Götz George,Male,journalist
Bandits,Germany,1997,Katja Riemann,Female,bandleader
A French Woman,Germany,1995,Emmanuelle Béart,Female,officer
Rossini,Germany,1997,Götz George,Male,director
Calendar,Germany,1993,Arsinée Khanjian,Female,translator
The Tigress,Germany,1992,Valentina Vargas,Female,career
The Deathmaker,Germany,1995,Götz George,Male,professor
Enlightenment Guaranteed,Germany,1999,Uwe Ochsenknecht,Male,real estate agent
Everything Will Be Fine,Germany,1998,Kati Stüdemann,Male,housekeeper
Harry and Harriet,Germany,1990,Petra Wagner,Male,therapist
Via Appia,Germany,1989,Peter Senner,Male,steward
Jailbirds,Germany,1996,Til Schweiger,Male,career
The Piano Teacher,Germany,2001,Isabelle Huppert,Female,professor
Bend It Like Beckham,Germany,2002,Parminder Nagra,Female,newspaper
Charlie's Angels,Germany,2000,Cameron Diaz,Female,cook
Black Book,Germany,2006,Carice van Houten,Female,singer
The Wave,Germany,2008,Jürgen Vogel,Male,history teacher
Good Bye Lenin!,Germany,2003,Daniel Brühl,Male,driver
The White Ribbon,Germany,2009,Christian Friedel,Male,school teacher
The Baader Meinhof Complex,Germany,2008,Martina Gedeck,Female,journalist
As Far as My Feet Will Carry Me,Germany,2001,Bernhard Bettermann,Male,soldier
Rabbit Without Ears,Germany,2007,Til Schweiger,Male,reporter
Fantômes,Germany,2005,Julia Hummer,Female,cleaner
Romy Schneider,Germany,2009,Jessica Schwarz,Female,actress
Bungalow,Germany,2002,Lennie Burmeister,Male,restaurant
Hotel,Germany,2004,Franziska Weisz,Female,maid
Der Wixxer,Germany,2004,Oliver Kalkofe,Male,inspector
Montag,Germany,2006,Isabelle Menke,Male,doctor
The Forest for the Trees,Germany,2003,Eva Löbau,Female,school teacher
The Airlift,Germany,2005,Heino Ferch,Male,turner
Der Zauber des Regenbogens,Germany,2007,Sandra Speichert,Female,architect
Otto - Der Katastrofenfilm,Germany,2000,Otto Waalkes,Male,sailor
Hotel Desire,Germany,2011,Saralisa Volm,Female,chambermaid
Iron Sky,Germany,2012,Julia Dietze,Female,mate
Chalet Girl,Germany,2011,Miquita Oliver,Male,presenter
We Are the Night,Germany,2010,Karoline Herfurth,Female,dispenser
The Color Out of Space,Germany,2010,Paul Dorsch,Male,ranger
Agent Ranjid rettet die Welt,Germany,2012,Kaya Yanar,Male,agent
The Danish Girl,Germany,2015,Alicia Vikander,Female,artist
Lucy,Germany,2014,Scarlett Johansson,Female,miller
The Bunker,Germany,2015,Pit Bukowski,Male,teacher
Amour Fou,Germany,2014,Christian Friedel,Male,poet
Paradise: Hope,Germany,2013,Melanie Lenz,Male,director
Silent Summer,Germany,2013,Dagmar Manzel,Female,historian
Atomic Blonde,Germany,2017,Charlize Theron,Female,executive
Personal Shopper,Germany,2016,Kristen Stewart,Female,supermodel
The Young Karl Marx,Germany,2017,August Diehl,Male,writer
3 Days in Quiberon,Germany,2018,Marie Bäumer,Female,actress
The Most Beautiful Day,Germany,2016,Florian David Fitz,Male,pianist
Phantompain,Germany,2018,Daniel Littau,Male,fisher
A Hidden Life,Germany,2019,August Diehl,Male,farmer
Blood Red Sky,Germany,2021,Peri Baumeister,Female,doctor
Undine,Germany,2020,Paula Beer,Female,historian
The Operative,Germany,2019,Diane Kruger,Female,agent
The Last Execution,Germany,2021,Lars Eidinger,Male,doctor
Turncoat,Germany,2020,Jannis Niewöhner,Male,soldier
Axiom,Germany,2022,Moritz von Treuenfels,Male,museum attendant
Auf dem Grund,Germany,2022,Claudia Michelsen,Female,scout
Never on Sunday,Greece,1960,Melina Mercouri,Female,classical scholar
Agapi mou Oua-Oua,Greece,1974,Kakia Analyti,Female,author
A Dream of Passion,Greece,1978,Melina Mercouri,Female,actor
The Countess of Corfu,Greece,1972,Rena Vlahopoulou,Female,teacher
Her Private Life,Greece,1971,Anna Fonsou,Female,criminal investigator
Assignment Skybolt,Greece,1968,Nikos Kourkoulos,Male,secret service agent
Visibility Zero,Greece,1970,Nikos Kourkoulos,Male,responsible
The Punk of Fokionos Negri,Greece,1965,Alexandra Ladikou,Male,heiress
O Asymvivastos,Greece,1979,Pavlos Sidiropoulos,Male,street musician
Rendez-vous in the Air,Greece,1966,Rena Vlahopoulou,Female,actress
A Patented Stupid Man,Greece,1963,Vasilis Avlonitis,Male,mayor
Vio-grafia,Greece,1975,Giorgos Kyritsis,Male,narrator
A Matter of Conscience,Greece,1973,Nikos Kourkoulos,Male,doctor
Stop or I'll Shoot,Greece,1969,Filios Filippidis,Male,butcher
Aftoi pou xehasan ton orko tous,Greece,1971,Kostas Karras,Male,doctor
Landscape in the Mist,Greece,1988,Michalis Zeke,Male,driver
Singapore Sling,Greece,1990,Meredyth Herold,Female,chauffeur
Rembetiko,Greece,1983,Sotiria Leonardou,Female,singer
Morning Patrol,Greece,1987,Michele Valley,Female,guard
Bordello,Greece,1985,Marina Vlady,Female,madam
Cavafy,Greece,1996,Dimitris Katalifos,Male,poet
The Mating Game,Greece,1999,Natalia Dragoumi,Female,instructor
Wild Jokes in the Classroom,Greece,1983,Nikos Rizos,Male,schoolmaster
Eleftherios Venizelos: 1910-1927,Greece,1980,Minas Christidis,Male,politician
"Nights, Gambled Away",Greece,1997,Jasmin Tabatabai,Female,dancer
Kathenas me tin trella tou...,Greece,1980,Mairi Hronopoulou,Female,journalist
See You,Greece,1997,Akis Sakellariou,Male,intellectual
To 1821 kai oi xenoi zografoi,Greece,1992,Stelios Drivas,Male,narrator
To kokkino treno,Greece,1982,Lakis Komninos,Male,soldier
Stin akri tis polis,Greece,1995,Giannis Anastasakis,Male,narrator
"Money, a Mythology of Darkness",Greece,1998,Yorgos Karamihos,Male,narrator
A... Daring Story,Greece,1993,Andreas Vlahokiriakos,Male,writer
Angelos Sikelianos,Greece,1981,Antonis Antoniou,Male,reciter
Oi Ai-Symiotes tou Mesolongiou,Greece,1990,Nikitas Tsakiroglou,Male,narrator
Dogtooth,Greece,2009,Christos Stergioglou,Male,security guard
Kinetta,Greece,2005,Evangelia Randou,Female,chambermaid
Strella,Greece,2009,Mina Orfanou,Female,worker
Petit crime,Greece,2008,Aris Servetalis,Male,officer
The Homecoming,Greece,2007,Arto Apartian,Male,labor
In Good Company,Greece,2000,Giorgos Kimoulis,Male,doctor
Le perdant ramasse tout,Greece,2002,Giannis Angelakas,Male,dancer
Second Nature,Greece,2005,Iordanis Kalesis,Male,naval officer
Under Your Make-up,Greece,2008,Ariel Konstantinidi,Female,employee
Pandora,Greece,2006,Theodora Tzimou,Female,queen
The Seventh Sun of Love,Greece,2001,Katerina Papadaki,Female,army officer
Close to the Edge,Greece,2006,Tasos Nousias,Male,driver
Throw of Dice,Greece,2004,Anatoli Athanasiadou,Female,driver
1922: O megalos xerizomos,Greece,2007,Angeliki Dimitrakopoulou,Female,narrator
Attenberg,Greece,2010,Ariane Labed,Female,architect
Alps,Greece,2011,Angeliki Papoulia,Female,driver
L,Greece,2012,Aris Servetalis,Male,driver
Ziteitai pseftis,Greece,2010,Ieroklis Michaelidis,Male,minister
Black Storm,Greece,2011,Giorgos Giannopoulos,Male,coach
I Thessaloniki mesa apo tin poiisi,Greece,2012,Fotini Baxevani,Female,reciter
Norway,Greece,2014,Vangelis Mourikis,Male,dancer
The Eternal Return of Antonis Paraskevas,Greece,2013,Christos Stergioglou,Male,journalist
I Kori Tou Rembrandt,Greece,2015,Lakis Lazopoulos,Male,critic
The Waiter,Greece,2018,Aris Servetalis,Male,waiter
Suntan,Greece,2016,Makis Papadimitriou,Male,doctor
"Love, Love, Love",Greece,2016,Angeliki Papathemeli,Female,stripper
Phalaenopsis Alba,Greece,2018,Serafita Grigoriadou,Female,operator
Re-action,Greece,2017,Tania Tripi,Female,actor
Brazuca,Greece,2017,Boyko Paskalev,Male,goalkeeper
The Lost Daughter,Greece,2021,Olivia Colman,Female,professor
Monday,Greece,2020,Denise Gough,Female,lawyer
Eftihia,Greece,2019,Karyofyllia Karabeti,Female,songwriter
Tailor,Greece,2020,Dimitris Imellos,Male,tailor
"Not to Be Unpleasant, But We Need to Have a Serious Talk",Greece,2019,Omiros Poulakis,Male,carrier
The Ride,Greece,2021,Makis Papadimitriou,Male,driver
Sampoorna Ramayana,India,1961,Mahipal,Male,king
Hum Kisise Kum Naheen,India,1977,Rishi Kapoor,Male,manager
Kaajal,India,1965,Meena Kumari,Female,clerk
Don,India,1978,Amitabh Bachchan,Male,inspector
Mere Humsafar,India,1970,Sharmila Tagore,Female,director
Bhumika,India,1977,Smita Patil,Female,devadasi
Guide,India,1965,Dev Anand,Male,guide
Patthar Ke Sanam,India,1967,Waheeda Rehman,Female,manager
The Great Gambler,India,1979,Amitabh Bachchan,Male,inspector
Kasme Vaade,India,1978,Rakhee Gulzar,Female,lecturer
Amrapali,India,1966,Vyjayanthimala,Female,soldier
Tere Mere Sapne,India,1971,Dev Anand,Male,doctor
Caravan,India,1971,Asha Parekh,Female,employee
Neel Kamal,India,1968,Waheeda Rehman,Female,artisan
Barsaat Ki Raat,India,1960,Madhubala,Female,police commissioner
Do Gaz Zameen Ke Neeche,India,1972,Surendra Kumar,Male,scientist
Sawan Ko Aane Do,India,1979,Rita Bhaduri,Female,singer
Jwar Bhata,India,1973,Saira Banu,Female,secretary
Pyar Hi Pyar,India,1969,Vyjayanthimala,Female,industrialist
Adalat,India,1976,Amitabh Bachchan,Male,farmer
Kala Bazar,India,1960,Dev Anand,Male,conductor
Prem Pujari,India,1970,Dev Anand,Male,army officer
Dhund,India,1973,Navin Nischol,Male,inspector
Bhuvan Shome,India,1969,Utpal Dutt,Male,civil servant
Pooja Ke Phool,India,1964,Ashok Kumar,Male,lawyer
Shagird,India,1967,Joy Mukherjee,Male,professor
Aarti,India,1962,Ashok Kumar,Male,doctor
Call Girl,India,1974,Zaheera,Female,call girl
Meri Surat Teri Ankhen,India,1963,Ashok Kumar,Male,musician
Anjaan Raahen,India,1974,Feroz Khan,Male,teacher
Saaz Aur Awaaz,India,1966,Joy Mukherjee,Male,singer
Zorro,India,1975,Navin Nischol,Male,guide
Vikram,India,1986,Kamal Haasan,Male,commander
Pardes,India,1997,Shah Rukh Khan,Male,matchmaker
Purani Haveli,India,1989,Deepak Parashar,Male,photographer
Salaam Bombay!,India,1988,Shafiq Syed,Male,pusher
Hum Dil De Chuke Sanam,India,1999,Aishwarya Rai Bachchan,Female,pundit
Geraftaar,India,1985,Kamal Haasan,Male,actor
Captain Prabhakaran,India,1991,Mansoor Ali Khan,Male,police officer
Khoon Bhari Maang,India,1988,Rekha,Female,servant
Arth,India,1982,Shabana Azmi,Female,maid
Anjaam,India,1994,Madhuri Dixit,Female,hostess
Desh Premee,India,1982,Amitabh Bachchan,Male,master
Dulhe Raja,India,1998,Govinda,Male,restaurant
Muthu,India,1995,Rajinikanth,Male,servant
Arjun Pandit,India,1999,Sunny Deol,Male,model
Bhabhi,India,1991,Bhanupriya,Female,schoolmaster
Mandi,India,1983,Shabana Azmi,Female,singer
The Touch,India,1980,Shabana Azmi,Female,worker
Lady Tarzan,India,1990,Silk Smitha,Female,queen
Marte Dam Tak,India,1987,Raaj Kumar,Male,operator
Rudaali,India,1993,Rakhee Gulzar,Female,messenger
Vansh,India,1992,Sudesh Berry,Male,inspector
Aashiqui,India,1990,Rahul Roy,Male,inspector
Hotel,India,1981,Navin Nischol,Male,secretary
Mirch Masala,India,1986,Smita Patil,Female,responsible
Ram Lakhan,India,1989,Rakhee Gulzar,Female,master
Veerta,India,1993,Sunny Deol,Male,director
Chor Police,India,1983,Shatrughan Sinha,Male,inspector
Karz,India,1980,Rishi Kapoor,Male,singer
Aastha: In the Prison of Spring,India,1997,Rekha,Female,customer
Bhairava Dweepam,India,1994,Nandamuri Balakrishna,Male,king
Raat,India,1992,Revathi,Female,police officer
Grahasthi,India,1984,Yogeeta Bali,Female,cashier
Ek Tha Raja,India,1996,Aditya Pancholi,Male,commissioner
Aaj Ki Awaz,India,1984,Raj Babbar,Male,professor
Street Fighter: The Legend of Chun-Li,India,2009,Kristin Kreuk,Female,pianist
Hey Ram,India,2000,Kamal Haasan,Male,doctor
Swades,India,2004,Shah Rukh Khan,Male,manager
No Smoking,India,2007,John Abraham,Male,doctor
Saawariya,India,2007,Rani Mukerji,Female,prostitute
Don,India,2006,Shah Rukh Khan,Male,police officer
Kaminey,India,2009,Shahid Kapoor,Male,bookmaker
Oye Lucky! Lucky Oye!,India,2008,Abhay Deol,Male,inspector
Ashoka the Great,India,2001,Shah Rukh Khan,Male,king
Aankhen,India,2002,Amitabh Bachchan,Male,manager
Murder,India,2004,Mallika Sherawat,Female,detective
Chandramukhi,India,2005,Rajinikanth,Male,doctor
Lajja,India,2001,Manisha Koirala,Female,actress
Woh lamhe...,India,2006,Kangana Ranaut,Female,actress
The Hero: Love Story of a Spy,India,2003,Sunny Deol,Male,spy
Fashion,India,2008,Priyanka Chopra Jonas,Female,supermodel
Main Madhuri Dixit Banna Chahti Hoon!,India,2003,Antara Mali,Female,actress
Khamoshh... Khauff Ki Raat,India,2005,Shilpa Shetty Kundra,Female,dancer
Gunaah,India,2002,Bipasha Basu,Female,inspector
Gaja Gamini,India,2000,Madhuri Dixit,Female,photojournalist
Don 2,India,2011,Shah Rukh Khan,Male,inspector
Eega,India,2012,Sudeep,Male,industrialist
Kahaani,India,2012,Vidya Balan,Female,engineer
The Dirty Picture,India,2011,Vidya Balan,Female,producer
I Hate Luv Storys,India,2010,Imran Khan,Male,director
Anjaana Anjaani,India,2010,Priyanka Chopra Jonas,Female,guard
The Hundred-Foot Journey,India,2014,Helen Mirren,Female,madam
Queen,India,2013,Kangana Ranaut,Female,sprinter
Masaan,India,2015,Richa Chadha,Female,trainer
The Villain,India,2014,Sidharth Malhotra,Male,officer
Dilwale,India,2015,Shah Rukh Khan,Male,tuner
Zanjeer,India,2013,Ram Charan,Male,inspector
Baahubali 2: The Conclusion,India,2017,Prabhas,Male,king
Sanju,India,2018,Ranbir Kapoor,Male,actor
Lust Stories,India,2018,Radhika Apte,Female,professor
The Other Side of the Door,India,2016,Sarah Wayne Callies,Female,housekeeper
Fan,India,2016,Shah Rukh Khan,Male,superstar
Secret Superstar,India,2017,Zaira Wasim,Female,singer
Vikram,India,2022,Kamal Haasan,Male,commander
Attack,India,2022,Jacqueline Fernandez,Female,hostess
Sardar Udham,India,2021,Vicky Kaushal,Male,responsible
Badla,India,2019,Amitabh Bachchan,Male,lawyer
The Tashkent Files,India,2019,Shweta Basu Prasad,Female,career
Haseen Dillruba,India,2021,Taapsee Pannu,Female,cook
Raat Akeli Hai,India,2020,Nawazuddin Siddiqui,Male,inspector
Thappad,India,2020,Taapsee Pannu,Female,maid
Once Upon a Time in the West,Italy,1968,Claudia Cardinale,Female,prostitute
Malicious,Italy,1973,Laura Antonelli,Female,housekeeper
1900,Italy,1976,Robert De Niro,Male,composer
That Malicious Age,Italy,1976,Gloria Guida,Female,gardener
The Decameron,Italy,1971,Franco Citti,Male,merchant
My Name Is Nobody,Italy,1973,Terence Hill,Male,barber
Black Emanuelle,Italy,1975,Laura Gemser,Female,photographer
Paranoia,Italy,1969,Carroll Baker,Female,lawyer
Appassionata,Italy,1974,Gabriele Ferzetti,Male,doctor
Luna,Italy,1979,Jill Clayburgh,Female,singer
They Call Me Trinity,Italy,1970,Terence Hill,Male,restaurant
Let Sleeping Corpses Lie,Italy,1974,Cristina Galb,Female,photographer
L'Avventura,Italy,1960,Gabriele Ferzetti,Male,journalist
La Notte,Italy,1961,Marcello Mastroianni,Male,writer
Slave of the Cannibal God,Italy,1978,Ursula Andress,Female,anthropologist
Stay as You Are,Italy,1978,Marcello Mastroianni,Male,landscape architect
Red Desert,Italy,1964,Monica Vitti,Female,doctor
The Gestapo's Last Orgy,Italy,1977,Adriano Micantoni,Male,commandant
Two Women,Italy,1960,Sophia Loren,Female,shopkeeper
A Lizard in a Woman's Skin,Italy,1971,Florinda Bolkan,Female,lawyer
A Quiet Place in the Country,Italy,1968,Franco Nero,Male,artist
The Beast in Heat,Italy,1977,Macha Magall,Female,doctor
Your Vice Is a Locked Room and Only I Have the Key,Italy,1972,Edwige Fenech,Female,prostitute
Scandal in the Family,Italy,1975,Michele Placido,Male,cook
Sunflower,Italy,1970,Sophia Loren,Female,soldier
Un dramma borghese,Italy,1979,Franco Nero,Male,journalist
The Crimes of the Black Cat,Italy,1972,Anthony Steffen,Male,composer
Horror Castle,Italy,1963,Rossana Podest,Female,hunter
A Very Private Affair,Italy,1962,Brigitte Bardot,Female,producer
The Organiser,Italy,1963,Marcello Mastroianni,Male,professor
"Texas, Adios",Italy,1966,Franco Nero,Male,sheriff
Queen of the Nile,Italy,1961,Jeanne Crain,Female,queen
Once Upon a Time in America,Italy,1984,Robert De Niro,Male,dancer
Life Is Beautiful,Italy,1997,Roberto Benigni,Male,restaurant
All Ladies Do It,Italy,1992,Claudia Koll,Female,dealer
Paprika,Italy,1991,Debora Caprioglio,Female,madam
Stealing Beauty,Italy,1996,Carlo Cecchi,Male,war correspondent
Phenomena,Italy,1985,Jennifer Connelly,Female,actor
The Big Blue,Italy,1988,Rosanna Arquette,Female,baker
Nikita,Italy,1990,Anne Parillaud,Female,restaurant
Only You,Italy,1994,Marisa Tomei,Female,mate
Opera,Italy,1987,Cristina Marsillach,Female,director
Little Flames,Italy,1985,Dino Jaksic,Male,maid
Fermo posta Tinto Brass,Italy,1995,Tinto Brass,Male,director
Super Fuzz,Italy,1980,Terence Hill,Male,officer
The Venetian Woman,Italy,1986,Laura Antonelli,Female,noble
Escape from the Bronx,Italy,1983,Mark Gregory,Male,leader
A Cat in the Brain,Italy,1990,Lucio Fulci,Male,doctor
Tea with Mussolini,Italy,1999,Cher,Female,matron
Besieged,Italy,1998,Thandiwe Newton,Female,school teacher
Dream,Italy,1999,Tinto Brass,Male,presenter
Son of the Pink Panther,Italy,1993,Roberto Benigni,Male,gendarme
Desideria,Italy,1980,Stefania Sandrelli,Female,prostitute
Who Finds a Friend Finds a Treasure,Italy,1981,Terence Hill,Male,gambler
The Story of Piera,Italy,1983,Isabelle Huppert,Female,actress
Troublemakers,Italy,1994,Terence Hill,Male,bounty hunter
L'amore molesto,Italy,1995,Anna Bonaiuto,Female,artist
Johnny Stecchino,Italy,1991,Roberto Benigni,Male,bus driver
The Family,Italy,1987,Emanuele Lamaro,Male,teacher
Violence in a Women's Prison,Italy,1982,Laura Gemser,Female,journalist
Malamore,Italy,1982,Jimmy Briscoe,Male,lawyer
The Other Hell,Italy,1981,Franca Stoppi,Female,gardener
The Little Devil,Italy,1988,Roberto Benigni,Male,agent
The Future Is Woman,Italy,1984,Ornella Muti,Female,singer
The Nymph,Italy,1996,Stefania Sandrelli,Female,tailor
Troppo forte,Italy,1986,Carlo Verdone,Male,career
La stanza delle parole,Italy,1989,Martine Brochard,Female,writer
Puerto Escondido,Italy,1992,Diego Abatantuono,Male,banker
The Flavor of Corn,Italy,1989,Lorenzo Lena,Male,professor
Incontri proibiti,Italy,1998,Alberto Sordi,Male,engineer
