title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Bella,tt0482463,2006,Eduardo Verástegui,Male,Mexico,restaurant
The Maid,tt1187044,2009,Catalina Saavedra,Female,Mexico,maid
On the Edge,tt0429609,2006,Ana de la Reguera,Female,Mexico,director
Dust to Dust,tt0262698,2000,Osvaldo Benavides,Male,Mexico,writer
Ladies' Night,tt0378226,2003,Ana Claudia Talancón,Female,Mexico,stripper
Fantasías,tt0404958,2003,Mónica Dionne,Female,Mexico,maid
Déficit,tt0773318,2007,Andrés Almeida,Male,Mexico,conductor
Backyard,tt1257579,2009,Ana de la Reguera,Female,Mexico,officer
"Lucía, Lucía",tt0314170,2003,Cecilia Roth,Female,Mexico,writer
American Visa,tt0471565,2005,Demián Bichir,Male,Mexico,professor
El garabato,tt0997448,2008,José Alonso,Male,Mexico,hitman
Cámara oscura,tt0407707,2003,Silke,Female,Mexico,photographer
Shall We a Dance?,tt0419964,2004,Raúl Araiza,Male,Mexico,producer
El libro de piedra,tt0353665,2009,Ludwika Paleta,Female,Mexico,governess
Shibari,tt0454274,2002,Patricia Páramo,Male,Mexico,model
Meet the Head of Juan Pérez,tt0809920,2008,Silverio Palacios,Male,Mexico,magician
Long Sleepless Nights,tt0222023,2000,Juan Carlos Torres,Male,Mexico,prostitute
El deseo,tt1291121,2008,Keyla Wood,Male,Mexico,dancer
Seis días en la oscuridad,tt0328175,2003,Ludwika Paleta,Female,Mexico,teacher
Tijuana Makes Me Happy,tt0381704,2007,Pablo Tendilla Ortiz,Male,Mexico,prostitute
Entre caníbales,tt0898911,2007,Plutarco Haza,Male,Mexico,industrialist
Historias y testigos: ¡Ni una muerta mas!,tt0366024,2004,Fabiola Campomanes,Female,Mexico,reporter
The Cramp,tt1522140,2009,Julien Cottereau,Male,Mexico,comedian
Historias y testigos: Asesino de la galería,tt0428632,2004,Fabiola Campomanes,Female,Mexico,reporter
From Prada to Nada,tt0893412,2011,Camilla Belle,Female,Mexico,clerk
Los ojos de Julia,tt1512685,2010,Belén Rueda,Female,Mexico,inspector
Oscura Seduccion,tt1874658,2010,Elizabeth Cervantes,Female,Mexico,doctor
Barrio Tales,tt2170301,2012,Alexander Aguila,Male,Mexico,poet
Everybody's Got Somebody... Not Me,tt2332865,2012,Andrea Portal,Female,Mexico,executive
Halley,tt1890417,2012,Alberto Trujillo,Male,Mexico,guard
Rezeta,tt2884144,2012,Rezeta Veliu,Female,Mexico,model
Goodbye Cruel World,tt1679141,2010,Carlos Alberto Orozco,Male,Mexico,accountant
Machete Language,tt1723782,2011,Jessy Bulbo,Female,Mexico,musician
Así es la suerte,tt2028460,2011,Mauricio Isaac,Male,Mexico,actor
"AAA, la película: Sin límite en el tiempo",tt1484065,2010,César Arias,Male,Mexico,dr.
Rojo Orgásmico,tt2617694,2012,Luis Durán,Male,Mexico,samurai
Ocean Blues,tt1918987,2011,Isabel Piquer,Male,Mexico,actress
Escrito con sangre,tt1650522,2010,Carlos Ortega,Male,Mexico,journalist
Grandes finales de telenovelas,tt1810628,2010,Lucero,Female,Mexico,hostess
Cosas feas,tt1648046,2010,Carlos Aragón,Male,Mexico,narrator
Juan y la Borrega,tt1848960,2011,Manuel Domínguez,Male,Mexico,employee
Qué importa corazón,tt4575612,2011,Alberto Estrella,Male,Mexico,detective
Pandemonium: Virus NZ1,tt2447048,2012,Francisco Colmenero,Male,Mexico,narrator
Sicario,tt3397884,2015,Emily Blunt,Female,Mexico,chandler
