title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Como Nascem os Anjos,tt0115929,1996,Priscila Assum,Female,Brazil,driver
Os Trapalhões no Auto da Compadecida,tt0139660,1987,Renato Aragão,Male,Brazil,baker
Miramar,tt0158789,1997,João Rebello,Male,Brazil,artist
Angels of the Night,tt0139857,1987,Zezé Motta,Female,Brazil,actress
Perfume de Gardênia,tt0107809,1992,Christiane Torloni,Female,Brazil,driver
Parahyba Mulher Macho,tt0186437,1983,Tânia Alves,Female,Brazil,teacher
Vagas Para Moças de Fino Trato,tt0261380,1993,Norma Bengell,Female,Brazil,teacher
O Trapalhão na Arca de Noé,tt0086469,1983,Renato Aragão,Male,Brazil,cleaner
Os Heróis Trapalhões: Uma Aventura na Selva,tt0139361,1988,Renato Aragão,Male,Brazil,minister
O Corpo,tt0104011,1991,Antônio Fagundes,Male,Brazil,dancer
Johnny Love,tt12182762,1988,Maurício Mattar,Male,Brazil,singer
O Trapalhão e a Luz Azul,tt0228964,1999,Renato Aragão,Male,Brazil,singer
A Dama do Cine Shanghai,tt0092818,1987,Maitê Proença,Female,Brazil,actress
O Incrível Monstro Trapalhão,tt0241567,1980,Renato Aragão,Male,Brazil,dr.
Jubiabá,tt0091304,1986,Grande Otelo,Male,Brazil,pai-de-santo
"Bocage, the Triumph of Love",tt0139075,1997,Victor Wagner,Male,Brazil,poet
Negro Léo,tt3950936,1986,Hugo Carvana,Male,Brazil,managing editor
A Grande Noitada,tt0268337,1997,Othon Bastos,Male,Brazil,industrialist
A Matadeira,tt0125656,1994,Pedro Cardoso,Male,Brazil,professor
Os Fantasmas Trapalhões,tt0138434,1987,Renato Aragão,Male,Brazil,delegate
A Mulher do Atirador de Facas,tt0232141,1984,Carla Camurati,Female,Brazil,shooter
Corpo em Delito,tt0212893,1990,Lima Duarte,Male,Brazil,dr.
Saturday,tt0156983,1995,Otávio Augusto,Male,Brazil,servant
That's a Lero-Lero,tt0337293,1994,Bruno Garcia,Male,Brazil,director
City of God,tt0317248,2002,Alexandre Rodrigues,Male,Brazil,narrator
Carandiru,tt0293007,2003,Luiz Carlos Vasconcelos,Male,Brazil,physician
Madame Satã,tt0317887,2002,Lázaro Ramos,Male,Brazil,chef
Camila Jam,tt0882820,2007,Leandra Leal,Female,Brazil,writer
Call Girl,tt1043835,2007,Soraia Chaves,Female,Brazil,call girl
Mango Yellow,tt0333074,2002,Matheus Nachtergaele,Male,Brazil,butcher
The Man Who Copied,tt0367859,2003,Lázaro Ramos,Male,Brazil,operator
To the Left of the Father,tt0241663,2001,Selton Mello,Male,Brazil,farmer
The Year My Parents Went on Vacation,tt0857355,2006,Michel Joelsas,Male,Brazil,goalkeeper
Last Stop 174,tt1280567,2008,Michel Gomes,Male,Brazil,teacher
My Name Ain't Johnny,tt1092016,2008,Selton Mello,Male,Brazil,dealer
If I Were You,tt0448927,2006,Tony Ramos,Male,Brazil,teacher
Primo Basílio,tt0827778,2007,Débora Falabella,Female,Brazil,engineer
Embodiment of Evil,tt0923683,2008,José Mojica Marins,Male,Brazil,gravedigger
Cazuza: Time Doesn't Stop,tt0318590,2004,Daniel de Oliveira,Male,Brazil,career
The Assailant,tt1322277,2009,Aílton Carmo,Male,Brazil,fighter
Olga,tt0196811,2004,Camila Morgado,Female,Brazil,leader
Fake Blond,tt1059921,2007,Rosanne Mulholland,Female,Brazil,worker
"I Travel Because I Have to, I Come Back Because I Love You",tt1500761,2009,Irandhir Santos,Male,Brazil,geologist
Tolerance,tt0207163,2000,Maitê Proença,Female,Brazil,lawyer
Linha de Passe,tt0803029,2008,Sandra Corveloni,Female,Brazil,cleaner
Budapest,tt1180300,2009,Leonardo Medeiros,Male,Brazil,writer
Once Upon a Time in Rio,tt1149597,2008,Mariana Ximenes,Female,Brazil,lawyer
Delicate Crime,tt0478525,2005,Marco Ricca,Male,Brazil,critic
Zuzu Angel,tt0481254,2006,Patricia Pillar,Female,Brazil,designer
Tainá 2: A Aventura Continua,tt0383001,2004,Eunice Baía,Female,Brazil,warrior
Love Stories Only Last 90 Minutes,tt1609123,2009,Caio Blat,Male,Brazil,writer
Nina,tt0399412,2004,Guta Stresser,Female,Brazil,illustrator
O Menino da Porteira,tt1334026,2009,Daniel,Male,Brazil,cowboy
Smoke Gets in Your Eyes,tt1134860,2009,Glória Pires,Female,Brazil,teacher
A Grande Família: O Filme,tt0990366,2007,Marco Nanini,Male,Brazil,functionary
The Sign of the City,tt1119162,2007,Bruna Lombardi,Female,Brazil,astrologer
Garrincha: Lonely Star,tt0383373,2003,André Gonçalves,Male,Brazil,player
Xuxa Popstar,tt0286320,2000,Xuxa,Female,Brazil,model
Tonic Dominant,tt0264117,2000,Fernando Alves Pinto,Male,Brazil,clarinetist
Xuxinha and Guto Against the Space Monsters,tt0496595,2005,Xuxa,Female,Brazil,narrator
Benjamim,tt0342097,2003,Paulo José,Male,Brazil,model
Alice's House,tt0984175,2007,Carla Ribas,Female,Brazil,driver
Favorite Son,tt0446493,2001,Ornella Muti,Female,Brazil,doctor
Villa-Lobos: A Life of Passion,tt0245547,2000,Antônio Fagundes,Male,Brazil,composer
Two Lost in a Dirty Night,tt0335054,2002,Débora Falabella,Female,Brazil,prostitute
Stay with Me Tonight,tt0808266,2006,Vladimir Brichta,Male,Brazil,writer
In Therapy,tt1278336,2009,Lília Cabral,Female,Brazil,psychoanalyst
Bufo & Spallanzani,tt0264446,2001,José Mayer,Male,Brazil,detective
Time of Peace,tt1223932,2009,Tony Ramos,Male,Brazil,officer
A Cartomante,tt0398838,2004,Deborah Secco,Female,Brazil,physician
"The Tenants (Don't Like It, Leave)",tt1522232,2009,Fernando Alves Pinto,Male,Brazil,teacher
"Apolônio Brasil, Campeão da Alegria",tt0379174,2003,Marco Nanini,Male,Brazil,pianist
A Guerra dos Rocha,tt0972378,2008,Ary Fontoura,Male,Brazil,musician
No Control,tt0882782,2007,Eduardo Moscovis,Male,Brazil,director
Xuxa em Sonho de Menina,tt1146300,2007,Xuxa,Female,Brazil,actress
O Diabo a Quatro,tt0440270,2004,Marcelo Faria,Male,Brazil,politician
The Greatest Love of All,tt0481129,2006,José Wilker,Male,Brazil,astrophysicist
The Happy Cricket and the Giant Bugs,tt1670262,2009,Luiz Amorim,Male,Brazil,professor
Summer Show,tt0399811,2004,Angélica,Female,Brazil,singer
Urban Snap-Shots,tt0798732,2008,Marília Pêra,Female,Brazil,psychoanalyst
Amélia,tt0258413,2000,Marília Pêra,Female,Brazil,actress
The Warrior Didi and the Ninja Lili,tt1248882,2008,Livian Aragão,Female,Brazil,army officer
Lara,tt0297245,2002,Christine Fernandes,Female,Brazil,muse
Ai Que Vida!,tt4574562,2008,Wellington Alencar,Male,Brazil,mayor
Quarta B,tt0834944,2005,Christiano Cochrane,Male,Brazil,dr.
O Homem Mau Dorme Bem,tt2071544,2009,Simone Iliescu,Male,Brazil,seller
"Osmar, the Heel of the Loaf",tt1483466,2008,Fernando Alves Pinto,Male,Brazil,dr.
The Castle,tt2033243,2002,Francisco Cuoco,Male,Brazil,narrator
Loop,tt11020338,2002,Carlos Gregório,Male,Brazil,scientist
Diário de Um Novo Mundo,tt0477164,2005,Edson Celulari,Male,Brazil,doctor
Saens Peña Square,tt1446136,2008,Chico Díaz,Male,Brazil,teacher
"Aleijadinho - Paixão, Glória e Suplício",tt0368567,2000,Maurício Gonçalves,Male,Brazil,historian
'Y Ikatu Xingu,tt0940807,2006,Gisele Bündchen,Female,Brazil,presenter
A Guerra dos Paulistas,tt1033591,2002,Caco Ciocler,Male,Brazil,actor
Infernos,tt1813381,2006,Nauro Machado,Male,Brazil,poet
A Terceira Morte de Joaquim Bolívar,tt0252055,2000,Othon Bastos,Male,Brazil,leader
Gregório de Mattos,tt0354609,2003,Waly Salomão,Male,Brazil,poet
Calango Lengo: Morte e Vida sem Ver Água,tt7820312,2008,Chica Xavier,Female,Brazil,narrator
Nelson Gonçalves,tt0291377,2002,Alexandre Borges,Male,Brazil,singer
O.D. Overdose Digital,tt1557655,2007,Francisco Gaspar,Male,Brazil,dealer
Mistério na Colônia,tt2750380,2003,Luciano Huck,Male,Brazil,doctor
O Ovo,tt0495877,2003,Maria Bethânia,Female,Brazil,narrator
Confessions of a Brazilian Call Girl,tt1587828,2011,Deborah Secco,Female,Brazil,call girl
Rat Fever,tt2200908,2011,Irandhir Santos,Male,Brazil,poet
The Man from the Future,tt2027178,2011,Wagner Moura,Male,Brazil,scientist
The Strange Case of Angelica,tt1282153,2010,Pilar López de Ayala,Female,Brazil,photographer
Astral City: A Spiritual Journey,tt1467388,2010,Renato Prieto,Male,Brazil,doctor
So Hard to Forget,tt1735853,2010,Ana Paula Arósio,Female,Brazil,teacher
Federal Bank Heist,tt1579223,2011,Milhem Cortaz,Male,Brazil,officer
Craft,tt1667333,2010,Karine Teles,Female,Brazil,actor
Elvis & Madonna,tt1071211,2010,Simone Spoladore,Female,Brazil,photographer
Boca,tt1827372,2010,Daniel de Oliveira,Male,Brazil,king
The Silver Cliff,tt1725057,2011,Camila Amado,Female,Brazil,dentist
Tainá: The Origin,tt1708510,2011,Wiranu Tembé,Male,Brazil,warrior
The Two Deaths of Quincas Wateryell,tt1068962,2010,Mariana Ximenes,Female,Brazil,employee
All About Happiness,tt1891885,2011,Bruna Lombardi,Female,Brazil,chef
"Boa Sorte, Meu Amor",tt2332712,2012,Christiana Ubach,Female,Brazil,musician
An Extremely Nutty Teacher,tt1401681,2011,Paolla Oliveira,Female,Brazil,teacher
Romance Policial,tt3603568,2012,Daniel de Oliveira,Male,Brazil,civil servant
Boa,tt1978458,2011,Gilda Nomacce,Female,Brazil,hairdresser
Billi Pig,tt2181839,2012,Selton Mello,Male,Brazil,actress
País do Desejo,tt2156927,2012,Fábio Assunção,Male,Brazil,pianist
Doppelgänger,tt2172056,2012,Sabrina Greve,Female,Brazil,teacher
Cara ou Coroa,tt2435676,2012,Emílio de Mello,Male,Brazil,director
Estamos Juntos,tt2139855,2011,Leandra Leal,Female,Brazil,doctor
Beyond the Grave,tt1075642,2010,Rafael Tombini,Male,Brazil,officer
"Em Uma Noite Escura, As Rosas São Amarelas",tt1707356,2010,Eucir de Souza,Male,Brazil,writer
Dyonélio,tt2979928,2012,Clemente Viscaíno,Male,Brazil,investigator
Nervo Craniano Zero,tt2328691,2012,Guenia Lemos,Female,Brazil,muse
Homens de Bem,tt2349703,2011,Rodrigo Santoro,Male,Brazil,investigator
Passageiro,tt2069875,2011,Augusto Madeira,Male,Brazil,jockey
Os Sonhos de um Sonhador: A História de Frank Aguiar,tt2642050,2010,Frank Aguiar,Male,Brazil,musician
A Balada do Provisório,tt5214556,2012,Edson Zille,Male,Brazil,dealer
Super Nada,tt2237158,2012,Marat Descartes,Male,Brazil,performer
