title,id,release_year,main_character_name,main_character_gender,country,main_character_role
El fuego y el soñador,tt0322346,2005,Boy Olmi,Male,Argentina,director
Ay Juancito,tt0362789,2004,Adrián Navarro,Male,Argentina,officer
Chiche bombón,tt0361437,2004,Andrea Galante,Female,Argentina,acting
Tesoro mío,tt0237817,2000,Gabriel Goity,Male,Argentina,bank officer
Tocá para mí,tt0287031,2001,Hermes Gaido,Male,Argentina,musician
Dibu 3,tt0293093,2002,Alejandro Awada,Male,Argentina,profesor
The Place That Was Paradise,tt0285683,2002,Federico Luppi,Male,Argentina,diplomat
Love by Accident,tt1220899,2008,Mercedes Morán,Female,Argentina,painter
Incómodos,tt1303865,2008,Ricardo Bauleo,Male,Argentina,pianist
Pabellón 86,tt1058098,2007,Pascual Condito,Male,Argentina,director
El amor y el espanto,tt0288424,2001,Miguel Ángel Solá,Male,Argentina,writer
Carancho,tt1542852,2010,Ricardo Darín,Male,Argentina,lawyer
The Last Elvis,tt2125500,2012,John McInerny,Male,Argentina,impersonator
Gaturro,tt1442556,2010,Mariano Chiesa,Male,Argentina,master
Cowboy,tt1741283,2011,Juan Minujín,Male,Argentina,actor
La suerte en tus manos,tt1904835,2012,Luis Brandoni,Male,Argentina,dr.
The Cat Vanishes,tt1841584,2011,Luis Luque,Male,Argentina,professor
Hostage of an Illusion,tt1815893,2012,Daniel Fanego,Male,Argentina,novelist
Amor a mares,tt2388639,2012,Luciano Castro,Male,Argentina,writer
Kluge,tt1117593,2010,Laura Harring,Female,Argentina,journalist
My Days with Gloria,tt1527170,2010,Isabel Sarli,Female,Argentina,actress
Soledad y Larguirucho,tt2179678,2012,Guillermo Andino,Male,Argentina,presenter
Estamos Juntos,tt2139855,2011,Leandra Leal,Female,Argentina,doctor
Nosilatiaj. La Belleza,tt2185431,2012,Rosmeri Segundo,Male,Argentina,maid
Topos,tt2032568,2012,Pompeyo Audivert,Male,Argentina,supervisor
Glorious Accidents,tt2033942,2011,Cristina Banegas,Female,Argentina,narrator
Chasqui,tt1730681,2010,Diego Capusotto,Male,Argentina,salesman
Truman,tt3754940,2015,Ricardo Darín,Male,Argentina,professor
Amapola,tt2484530,2014,Camilla Belle,Female,Argentina,ama
