title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Anjaam,tt0109134,1994,Madhuri Dixit,Female,India,hostess
Bandit Queen,tt0109206,1994,Seema Biswas,Female,India,queen
Desh Premee,tt0083820,1982,Amitabh Bachchan,Male,India,master
Dulhe Raja,tt0210659,1998,Govinda,Male,India,restaurant
Muthu,tt0140399,1995,Rajinikanth,Male,India,servant
Arjun Pandit,tt0278315,1999,Sunny Deol,Male,India,model
Bhabhi,tt0172175,1991,Bhanupriya,Female,India,schoolmaster
Mandi,tt0085896,1983,Shabana Azmi,Female,India,singer
Janbaaz,tt0091284,1986,Feroz Khan,Male,India,inspector
Haathkadi,tt0260066,1995,Govinda,Male,India,assistant
The Touch,tt0079938,1980,Shabana Azmi,Female,India,worker
Lady Tarzan,tt4445486,1990,Silk Smitha,Female,India,queen
Marte Dam Tak,tt0234207,1987,Raaj Kumar,Male,India,operator
Saathi,tt0156982,1991,Aditya Pancholi,Male,India,baker
Rudaali,tt0108001,1993,Rakhee Gulzar,Female,India,messenger
Koyla,tt0136352,1997,Shah Rukh Khan,Male,India,king
Gupt: The Hidden Truth,tt0119239,1997,Bobby Deol,Male,India,governor
Vansh,tt0404537,1992,Sudesh Berry,Male,India,inspector
Aashiqui,tt0149573,1990,Rahul Roy,Male,India,inspector
Hotel,tt0260077,1981,Navin Nischol,Male,India,secretary
Ghayal,tt0099652,1990,Sunny Deol,Male,India,boxer
Mirch Masala,tt0089599,1986,Smita Patil,Female,India,responsible
Saagar,tt0152256,1985,Rishi Kapoor,Male,India,industrialist
Deewana,tt0126871,1992,Rishi Kapoor,Male,India,singer
Ram Lakhan,tt0098168,1989,Rakhee Gulzar,Female,India,master
Achanak,tt0286421,1998,Govinda,Male,India,industrialist
Phir Teri Kahani Yaad Aayee,tt0156891,1993,Pooja Bhatt,Female,India,police officer
Shahenshah,tt0093949,1988,Amitabh Bachchan,Male,India,fighter
Saajan Ki Baahon Mein,tt0114316,1995,Rishi Kapoor,Male,India,bachelor
Apradhi,tt0103709,1992,Vikas Anand,Male,India,prosecutor
Khooni Murdaa,tt0363740,1989,Deepak Parashar,Male,India,inspector
Veerta,tt0243639,1993,Sunny Deol,Male,India,director
Ramayana: The Legend of Prince Rama,tt0259534,1997,Arun Govil,Male,India,king
Coolie No. 1,tt0101616,1995,Govinda,Male,India,porter
Hum,tt0102071,1991,Amitabh Bachchan,Male,India,inspector
Mrityudaata,tt0119721,1997,Amitabh Bachchan,Male,India,dr.
Bahu Ki Awaaz,tt1192370,1985,Vikas Anand,Male,India,prosecutor
Akayla,tt0101284,1991,Amitabh Bachchan,Male,India,inspector
Lootere,tt0107440,1993,Sunny Deol,Male,India,police officer
Gambler,tt0337625,1995,Govinda,Male,India,inspector
Bemisal,tt0083636,1982,Amitabh Bachchan,Male,India,dr.
Chor Police,tt0271432,1983,Shatrughan Sinha,Male,India,inspector
Karz,tt0214841,1980,Rishi Kapoor,Male,India,singer
Samarasimha Reddy,tt1575672,1999,Nandamuri Balakrishna,Male,India,employee
Wajood,tt0287111,1998,Nana Patekar,Male,India,actor
Khamosh,tt0089413,1986,Shabana Azmi,Female,India,actress
Tridev,tt0100816,1989,Sunny Deol,Male,India,inspector
Aastha: In the Prison of Spring,tt0229193,1997,Rekha,Female,India,customer
Bhairava Dweepam,tt0264415,1994,Nandamuri Balakrishna,Male,India,king
Phool Aur Angaar,tt0107821,1993,Arjun,Male,India,inspector
Salaami,tt0403475,1994,Ayub Khan,Male,India,cadet
Saboot,tt0253618,1980,Navin Nischol,Male,India,inspector
Prem Qaidi,tt0102706,1991,Karisma Kapoor,Female,India,superintendent
The Gentleman,tt0172487,1994,Chiranjeevi,Male,India,master
Raat,tt0266875,1992,Revathi,Female,India,police officer
Ajooba,tt0101283,1991,Amitabh Bachchan,Male,India,vigilante
Grahasthi,tt0246661,1984,Yogeeta Bali,Female,India,cashier
Tik Tik Tik,tt0156136,1981,Kamal Haasan,Male,India,newspaper
Aaj Ka Goonda Raaj,tt0247909,1992,Chiranjeevi,Male,India,tenant
Premante Idera,tt0366918,1998,Venkatesh Daggubati,Male,India,police officer
Ladaai,tt0366696,1989,Rekha,Female,India,prosecutor
Pehla Nasha,tt0172980,1993,Deepak Tijori,Male,India,actor
Yeshwant,tt0250122,1997,Nana Patekar,Male,India,inspector
Mahaan,tt0085886,1983,Ashok Kumar,Male,India,inspector
Anari No. 1,tt0200435,1999,Govinda,Male,India,waiter
Dillagi,tt0225515,1999,Sunny Deol,Male,India,responsible
Ek Tha Raja,tt0338960,1996,Aditya Pancholi,Male,India,commissioner
Barsaat Ki Ek Raat,tt0080376,1981,Amitabh Bachchan,Male,India,inspector
Tirangaa,tt0105599,1992,Raaj Kumar,Male,India,officer
Qahar,tt0251356,1997,Sunny Deol,Male,India,inspector
Bhago Bhoot Aayaa,tt0377496,1985,Ashok Kumar,Male,India,butler
Indrajeet,tt0102119,1991,Amitabh Bachchan,Male,India,inspector
Janam Janam,tt0359496,1988,Rishi Kapoor,Male,India,architect
Bhrashtachar,tt0096922,1989,Rekha,Female,India,politician
Yeh Dillagi,tt0111793,1994,Kajol,Female,India,driver
Barsaat,tt0112459,1995,Bobby Deol,Male,India,responsible
Khuddar,tt0110254,1994,Govinda,Male,India,inspector
Rajaji,tt0286910,1999,Govinda,Male,India,gardener
Kishen Kanhaiya,tt0099943,1990,Vikas Anand,Male,India,doctor
Rakhwale,tt2579176,1994,Mukesh Khanna,Male,India,officer
Jurrat,tt0926204,1989,Shatrughan Sinha,Male,India,inspector
Paap Ki Duniya,tt0243472,1988,Sunny Deol,Male,India,inspector
Itihaas,tt0093287,1987,Raaj Kumar,Male,India,police commissioner
Aakhree Raasta,tt0090575,1986,Amitabh Bachchan,Male,India,inspector
Ek Chitthi Pyar Bhari,tt0408734,1985,Raj Babbar,Male,India,dr.
Aaj Ki Awaz,tt0158451,1984,Raj Babbar,Male,India,prof.
Sharaabi,tt0088099,1984,Amitabh Bachchan,Male,India,industrialist
Lootmaar,tt0154788,1980,Dev Anand,Male,India,bhagat
Main Azaad Hoon,tt0097812,1989,Amitabh Bachchan,Male,India,newspaper
Guru,tt0187108,1980,Kamal Haasan,Male,India,official
Dulaara,tt0121232,1994,Govinda,Male,India,inspector
Dil Tera Aashiq,tt0106725,1993,Madhuri Dixit,Female,India,bachelor
Lashkar,tt0275466,1989,Dev Anand,Male,India,professor
Street Fighter: The Legend of Chun-Li,tt0891592,2009,Kristin Kreuk,Female,India,pianist
Hey Ram,tt0222012,2000,Kamal Haasan,Male,India,doctor
Swades,tt0367110,2004,Shah Rukh Khan,Male,India,manager
No Smoking,tt0995740,2007,John Abraham,Male,India,doctor
Let's Go! India,tt0871510,2007,Shah Rukh Khan,Male,India,coach
Saawariya,tt0758053,2007,Rani Mukerji,Female,India,prostitute
Don,tt0461936,2006,Shah Rukh Khan,Male,India,police officer
Black Friday,tt0400234,2004,Kay Kay Menon,Male,India,deputy
Ankahee,tt0495022,2006,Aftab Shivdasani,Male,India,dr.
Kaminey,tt1274295,2009,Shahid Kapoor,Male,India,bookmaker
Oye Lucky! Lucky Oye!,tt1292703,2008,Abhay Deol,Male,India,inspector
Ashoka the Great,tt0249371,2001,Shah Rukh Khan,Male,India,king
New York,tt1328634,2009,John Abraham,Male,India,spy
Gadar: Ek Prem Katha,tt0284137,2001,Sunny Deol,Male,India,truck driver
Aankhen,tt0306434,2002,Amitabh Bachchan,Male,India,manager
Taxi 9211,tt0476884,2006,Nana Patekar,Male,India,salesman
Murder,tt0405507,2004,Mallika Sherawat,Female,India,detective
Chandramukhi,tt0449869,2005,Rajinikanth,Male,India,dr.
Luck by Chance,tt0886539,2009,Farhan Akhtar,Male,India,actor
Lajja,tt0293342,2001,Manisha Koirala,Female,India,actress
Welcome to Sajjanpur,tt1221139,2008,Shreyas Talpade,Male,India,bachelor
Woh lamhe...,tt0833561,2006,Kangana Ranaut,Female,India,actress
Gangster,tt0495032,2006,Kangana Ranaut,Female,India,dancer
Bachna Ae Haseeno,tt1182972,2008,Ranbir Kapoor,Male,India,taxi driver
The Hero: Love Story of a Spy,tt0347167,2003,Sunny Deol,Male,India,spy
Saaya,tt0371922,2003,John Abraham,Male,India,dr.
Kyo Kii... Main Jhuth Nahin Bolta,tt0297241,2001,Govinda,Male,India,lawyer
Love Story 2050,tt0490170,2008,Harman Baweja,Male,India,singer
Ram Gopal Varma Ki Aag,tt0473310,2007,Amitabh Bachchan,Male,India,inspector
Fashion,tt0964516,2008,Priyanka Chopra Jonas,Female,India,supermodel
Aamir,tt1241195,2008,Rajeev Khandelwal,Male,India,dr.
1920,tt1301698,2008,Rajneesh Duggal,Male,India,architect
Ab Tak Chhappan,tt0402014,2004,Nana Patekar,Male,India,inspector
Chhupa Rustam: A Musical Thriller,tt0279021,2001,Sanjay Kapoor,Male,India,industrialist
Phoonk,tt1267500,2008,Sudeep,Male,India,engineer
Souryam,tt1612039,2008,Gopichand,Male,India,police officer
Krishna Cottage,tt0408976,2004,Sohail Khan,Male,India,professor
Ek Vivaah... Aisa Bhi,tt1194608,2008,Isha Koppikar,Female,India,singer
Kucch To Hai,tt0348662,2003,Tusshar Kapoor,Male,India,professor
Dasvidaniya,tt1288638,2008,Vinay Pathak,Male,India,manager
Shootout at Lokhandwala,tt0811066,2007,Amitabh Bachchan,Male,India,lawyer
Bond of Love,tt0284083,2001,Amitabh Bachchan,Male,India,employee
Fool N Final,tt0493417,2007,Sunny Deol,Male,India,fighter
Nishabd,tt0824375,2007,Amitabh Bachchan,Male,India,photographer
Paanch,tt0356982,2003,Kay Kay Menon,Male,India,singer
Sandakozhi,tt0497573,2005,Vishal,Male,India,responsible
Hum Kisi Se Kum Nahin,tt0320097,2002,Amitabh Bachchan,Male,India,dr.
Eklavya: The Royal Guard,tt0459605,2007,Amitabh Bachchan,Male,India,guard
Well Done Abba!,tt1397492,2009,Boman Irani,Male,India,driver
Zubeidaa,tt0255713,2001,Karisma Kapoor,Female,India,actress
AK 47,tt0432385,2004,Aditya,Male,India,manager
Naksha,tt0813540,2006,Sunny Deol,Male,India,officer
Maine Dil Tujhko Diya,tt0326600,2002,Sohail Khan,Male,India,inspector
Mere Yaar Ki Shaadi Hai,tt0322653,2002,Uday Chopra,Male,India,noble
Phir Bhi Dil Hai Hindustani,tt0222270,2000,Shah Rukh Khan,Male,India,reporter
Aks,tt0289845,2001,Amitabh Bachchan,Male,India,hitman
Kasoor,tt0272688,2001,Divya Dutta,Female,India,journalist
Akhiyon Se Goli Maare,tt0331421,2002,Govinda,Male,India,trainer
Nayee Padosan,tt0362902,2003,Vikas Kalantri,Male,India,actor
Mujhe Kucch Kehna Hai,tt0284328,2001,Tusshar Kapoor,Male,India,musician
Aabra Ka Daabra,tt1137434,2004,Naveen Bawa,Male,India,instructor
Sathyam,tt1582597,2008,Vishal,Male,India,police commissioner
Aaja Nachle,tt0986213,2007,Madhuri Dixit,Female,India,teacher
Kyaa Kool Hai Hum,tt0456500,2005,Tusshar Kapoor,Male,India,tailor
Tum Mile,tt1522329,2009,Emraan Hashmi,Male,India,character designer
Naqaab,tt1020978,2007,Bobby Deol,Male,India,shroff
My Brother... Nikhil,tt0419992,2005,Sanjay Suri,Male,India,swimmer
Hum Tumhare Hain Sanam,tt0222024,2002,Shah Rukh Khan,Male,India,singer
Paa,tt1532957,2009,Amitabh Bachchan,Male,India,politician
Om,tt0358613,2003,Attin Bhalla,Male,India,inspector
Main Madhuri Dixit Banna Chahti Hoon!,tt0374848,2003,Antara Mali,Female,India,actress
Do Knot Disturb,tt1343362,2009,Govinda,Male,India,supermodel
God Tussi Great Ho,tt0476550,2008,Amitabh Bachchan,Male,India,operator
Aetbaar,tt0377340,2004,Amitabh Bachchan,Male,India,dr.
Deewane Huye Paagal,tt0444781,2005,Shahid Kapoor,Male,India,competitor
Armaan,tt0331851,2003,Amitabh Bachchan,Male,India,dr.
Yeh Lamhe Judaai Ke,tt0385351,2004,Shah Rukh Khan,Male,India,singer
Jis Desh Mein Ganga Rehta Hain,tt0263491,2000,Govinda,Male,India,bachelor
Hawa,tt0369516,2003,Tabu,Female,India,psychiatrist
Iqbal,tt0453729,2005,Shreyas Talpade,Male,India,farmer
D,tt0454435,2005,Randeep Hooda,Male,India,mechanic
Seetayya,tt0379488,2003,Harikrishna Nandamuri,Male,India,leader
Muskaan,tt0409068,2004,Aftab Shivdasani,Male,India,fashion designer
Valley of Flowers,tt0392883,2006,Milind Soman,Male,India,leader
Kismat Konnection,tt1105733,2008,Shahid Kapoor,Male,India,architect
Laaga Chunari Mein Daag,tt0985636,2007,Rani Mukerji,Female,India,lawyer
Ghutan,tt1087850,2007,Aryan Vaid,Male,India,director
Bardaasht,tt0409724,2004,Bobby Deol,Male,India,army officer
"Road, Movie",tt1190894,2009,Abhay Deol,Male,India,entertainer
Anuranan,tt0814012,2006,Rahul Bose,Male,India,designer
Darna Zaroori Hai,tt0476649,2006,Amitabh Bachchan,Male,India,professor
Anwar,tt0953306,2007,Nauheed Cyrusi,Female,India,engineer
Sur,tt0332766,2002,Lucky Ali,Male,India,teacher
Khamoshh... Khauff Ki Raat,tt0437279,2005,Shilpa Shetty Kundra,Female,India,dancer
Jaago,tt0401532,2004,Sanjay Kapoor,Male,India,acting
Bheja Fry,tt1014672,2007,Vinay Pathak,Male,India,inspector
Ahista Ahista,tt0831840,2006,Abhay Deol,Male,India,registrar
