title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Africa Express,tt0072614,1975,Giuliano Gemma,Male,Italy,trader
First Love,tt0129320,1978,Ugo Tognazzi,Male,Italy,comedian
The Conjugal Bed,tt0057532,1963,Ugo Tognazzi,Male,Italy,dealer
A Pain in the Ass,tt0072934,1973,Lino Ventura,Male,Italy,hitman
La soldatessa alla visita militare,tt0076735,1977,Edwige Fenech,Female,Italy,doctor
Check to the Queen,tt0166789,1969,Rosanna Schiaffino,Female,Italy,actress
Allonsanfan,tt0069690,1974,Marcello Mastroianni,Male,Italy,master
Son of Samson,tt0054044,1960,Mark Forest,Male,Italy,queen
The Sunday Woman,tt0074423,1975,Marcello Mastroianni,Male,Italy,commissioner
Satanik,tt0063549,1968,Magda Konopka,Female,Italy,dr.
La califfa,tt0065516,1970,Ugo Tognazzi,Male,Italy,industrialist
Evil Eye,tt0071471,1975,Anthony Steffen,Male,Italy,inspector
White Fang,tt0069536,1973,Franco Nero,Male,Italy,writer
The Anonymous Venetian,tt0065408,1970,Florinda Bolkan,Female,Italy,musician
"Messalina, Messalina",tt0076388,1977,Anneka Di Lorenzo,Female,Italy,traveler
The Big Racket,tt0074586,1976,Fabio Testi,Male,Italy,inspector
Street Law,tt0071330,1974,Franco Nero,Male,Italy,engineer
Property Is No Longer a Theft,tt0070568,1973,Ugo Tognazzi,Male,Italy,butcher
Red Rings of Fear,tt0077505,1978,Fabio Testi,Male,Italy,inspector
Socrates,tt0210296,1971,Jean Sylvre,Male,Italy,philosopher
Baby Love,tt0078819,1979,Paola Maiolini,Female,Italy,queen
Tropic of Cancer,tt0068186,1972,Anthony Steffen,Male,Italy,doctor
Cold Eyes of Fear,tt0067511,1971,Giovanna Ralli,Female,Italy,lawyer
Lovers and Liars,tt0080094,1979,Goldie Hawn,Female,Italy,actress
Once Upon a Time in America,tt0087843,1984,Robert De Niro,Male,Italy,dancer
Life Is Beautiful,tt0118799,1997,Roberto Benigni,Male,Italy,restaurant
All Ladies Do It,tt0104014,1992,Claudia Koll,Female,Italy,dealer
Paprika,tt0098063,1991,Debora Caprioglio,Female,Italy,madam
Stealing Beauty,tt0117737,1996,Carlo Cecchi,Male,Italy,war correspondent
Phenomena,tt0087909,1985,Jennifer Connelly,Female,Italy,actor
The Big Blue,tt0095250,1988,Rosanna Arquette,Female,Italy,baker
Nikita,tt0100263,1990,Anne Parillaud,Female,Italy,restaurant
Only You,tt0110737,1994,Marisa Tomei,Female,Italy,mate
Miranda,tt0089598,1985,Serena Grandi,Female,Italy,innkeeper
Queen Margot,tt0110963,1994,Isabelle Adjani,Female,Italy,queen
Opera,tt0093677,1987,Cristina Marsillach,Female,Italy,director
Little Flames,tt0089808,1985,Dino Jaksic,Male,Italy,maid
Fermo posta Tinto Brass,tt0113049,1995,Tinto Brass,Male,Italy,director
The Raffle,tt0134057,1991,Monica Bellucci,Female,Italy,lawyer
Super Fuzz,tt0082924,1980,Terence Hill,Male,Italy,officer
The Venetian Woman,tt0092157,1986,Laura Antonelli,Female,Italy,noble
Escape from the Bronx,tt0089104,1983,Mark Gregory,Male,Italy,leader
A Cat in the Brain,tt0099637,1990,Lucio Fulci,Male,Italy,dr.
"11 Days, 11 Nights 2",tt0297447,1991,Kristine Rose,Female,Italy,executor
Tea with Mussolini,tt0120857,1999,Cher,Female,Italy,matron
Besieged,tt0149723,1998,Thandiwe Newton,Female,Italy,school teacher
Dream,tt0445724,1999,Tinto Brass,Male,Italy,presenter
Son of the Pink Panther,tt0108187,1993,Roberto Benigni,Male,Italy,gendarme
Desideria,tt0081724,1980,Stefania Sandrelli,Female,Italy,prostitute
Who Finds a Friend Finds a Treasure,tt0085327,1981,Terence Hill,Male,Italy,gambler
The Story of Piera,tt0086372,1983,Isabelle Huppert,Female,Italy,actress
Capriccio,tt0092720,1987,Nicola Warren,Female,Italy,waiter
A Blade in the Dark,tt0085303,1983,Andrea Occhipinti,Male,Italy,composer
Troublemakers,tt0109321,1994,Terence Hill,Male,Italy,bounty hunter
Harem Suare,tt0179841,1999,Marie Gillain,Female,Italy,guard
Dear Diary,tt0109382,1993,Nanni Moretti,Male,Italy,director
The Monster,tt0110570,1994,Roberto Benigni,Male,Italy,handler
L'amore molesto,tt0112352,1995,Anna Bonaiuto,Female,Italy,artist
Everybody's Fine,tt0100681,1990,Marcello Mastroianni,Male,Italy,bureaucrat
Macabre,tt0080764,1980,Bernice Stegers,Female,Italy,baker
Women's Prison Massacre,tt0085250,1983,Laura Gemser,Female,Italy,sheriff
Revenge of the Dead,tt0086636,1983,Gabriele Lavia,Male,Italy,journalist
Johnny Stecchino,tt0102164,1991,Roberto Benigni,Male,Italy,bus driver
Miami Supercops,tt0089591,1985,Terence Hill,Male,Italy,officer
The Family,tt0093004,1987,Emanuele Lamaro,Male,Italy,teacher
Violence in a Women's Prison,tt0084869,1982,Laura Gemser,Female,Italy,journalist
Ultimo metr,tt0445788,1999,Tinto Brass,Male,Italy,presenter
Dark Eyes,tt0093664,1987,Marcello Mastroianni,Male,Italy,restaurant
Malamore,tt0128322,1982,Jimmy Briscoe,Male,Italy,lawyer
The Pleasure,tt0089807,1985,Andrea Guzon,Female,Italy,acting
Intervista,tt0093267,1987,Sergio Rubini,Male,Italy,reporter
Ace,tt0082034,1981,Adriano Celentano,Male,Italy,clerk
The Other Hell,tt0080362,1981,Franca Stoppi,Female,Italy,gardener
Pierino contro tutti,tt0082904,1981,Alvaro Vitali,Male,Italy,teacher
Escape from Galaxy 3,tt0175663,1981,Sherry Buchanan,Female,Italy,king
Games of Desire,tt0099632,1991,Mal,Female,Italy,ambassador
Mal e l'amante,tt0096797,1991,Mal,Female,Italy,gardener
Zombie 5: Killing Birds,tt0156706,1988,Lara Wendel,Female,Italy,porter
The Bull,tt0111459,1994,Diego Abatantuono,Male,Italy,employee
Honey,tt0082747,1981,Clio Goldsmith,Female,Italy,writer
Escape from Hell,tt0079115,1980,Anthony Steffen,Male,Italy,doctor
Madly in Love,tt0082562,1981,Adriano Celentano,Male,Italy,driver
The Little Devil,tt0095869,1988,Roberto Benigni,Male,Italy,agent
The Erotic Dreams of Cleopatra,tt0086330,1985,Marcella Petrelli,Female,Italy,queen
Murder Syndrome,tt0081286,1981,Stefano Patrizi,Male,Italy,tender
Caligula's Slaves,tt0087023,1984,Robert Gligorov,Male,Italy,dancer
The World of Don Camillo,tt0085454,1984,Terence Hill,Male,Italy,mayor
Desiderando Giulia,tt0089016,1986,Serena Grandi,Female,Italy,writer
The Future Is Woman,tt0087310,1984,Ornella Muti,Female,Italy,singer
Voices from Beyond,tt0100881,1994,Duilio Del Prete,Male,Italy,financier
I'm Photogenic,tt0081536,1980,Renato Pozzetto,Male,Italy,actor
The Nymph,tt0117185,1996,Stefania Sandrelli,Female,Italy,tailor
Talcum Powder,tt0083680,1982,Carlo Verdone,Male,Italy,publisher
Fun Is Beautiful,tt0079839,1980,Carlo Verdone,Male,Italy,professor
"Sangraal, la spada di fuoco",tt0086238,1982,Pietro Torrisi,Male,Italy,king
Viol@,tt0140681,1998,Stefania Rocca,Female,Italy,caller
Hanna D. - La ragazza del Vondel Park,tt0089251,1984,Ann-Gisel Glass,Female,Italy,prostitute
Sodoma's Ghost,tt0095132,1988,Claudio Aliotti,Male,Italy,driver
Bingo Bongo,tt0083655,1982,Adriano Celentano,Male,Italy,director
Troppo forte,tt0092116,1986,Carlo Verdone,Male,Italy,career
La stanza delle parole,tt0100682,1989,Martine Brochard,Female,Italy,writer
Puerto Escondido,tt0105188,1992,Diego Abatantuono,Male,Italy,banker
According to Pereira,tt0115479,1995,Marcello Mastroianni,Male,Italy,editor
Boys on the Outside,tt0100454,1990,Francesco Benigno,Male,Italy,actor
W la foca,tt0084880,1982,Lory Del Santo,Female,Italy,physician
The Flavor of Corn,tt0102840,1989,Lorenzo Lena,Male,Italy,professor
Il grande cocomero,tt0107040,1993,Sergio Castellitto,Male,Italy,doctor
The Spider Labyrinth,tt0095728,1988,Roland Wybenga,Male,Italy,professor
Garage Olimpo,tt0201631,1999,Antonella Costa,Female,Italy,activist
Penombra,tt0131532,1987,Paola Senatore,Female,Italy,noble
Il burbero,tt0092709,1986,Adriano Celentano,Male,Italy,lawyer
The Mystery of Oberwald,tt0081165,1980,Monica Vitti,Female,Italy,queen
Segni particolari: bellissimo,tt0086274,1983,Adriano Celentano,Male,Italy,writer
The Witches' Sabbath,tt0096396,1988,Béatrice Dalle,Female,Italy,psychiatrist
Grandi magazzini,tt0091148,1986,Enrico Montesano,Male,Italy,cleaner
You Disturb Me,tt0086483,1983,Roberto Benigni,Male,Italy,soldier
Mozart Is a Murderer,tt0308603,1999,Enzo Decaro,Male,Italy,commissioner
Thunder II,tt0090170,1987,Mark Gregory,Male,Italy,deputy
The Lie,tt0086919,1985,Stefania Sandrelli,Female,Italy,career
Mi faccio la barca,tt0082741,1980,Laura Antonelli,Female,Italy,dentist
Top Line,tt0096287,1988,Franco Nero,Male,Italy,author
Death of a Neapolitan Mathematician,tt0104918,1992,Carlo Cecchi,Male,Italy,professor
Jealous Eyes,tt0096959,1989,Dalila Di Lazzaro,Female,Italy,musician
La casa stregata,tt0161389,1982,Renato Pozzetto,Male,Italy,clerk
Sogni mostruosamente proibiti,tt0086331,1982,Paolo Villaggio,Male,Italy,writer
Thunder III,tt0094144,1988,Mark Gregory,Male,Italy,warrior
I Don't Understand You Anymore,tt0244105,1980,Monica Vitti,Female,Italy,lawyer
Viaggi di nozze,tt0114844,1995,Carlo Verdone,Male,Italy,caretaker
Marrakech Express,tt0097841,1989,Diego Abatantuono,Male,Italy,dealer
Speed Driver,tt0081733,1980,Fabio Testi,Male,Italy,racer
The Two Lives of Mattia Pascal,tt0089057,1985,Marcello Mastroianni,Male,Italy,farmer
La ripetente fa l'occhietto al preside,tt0081429,1980,Anna Maria Rizzoli,Female,Italy,industrialist
Grand Hotel Excelsior,tt0084018,1982,Adriano Celentano,Male,Italy,hotel manager
Acqua e sapone,tt0086850,1983,Carlo Verdone,Male,Italy,theologian
