title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Svoya chuzhaya zhizn,tt0824404,2005,Leonid Gromov,Male,Russia,director
Elena,tt1925421,2011,Nadezhda Markina,Female,Russia,career
8 First Dates,tt2258239,2012,Oksana Akinshina,Female,Russia,veterinarian
Short Stories,tt2192582,2012,Andrey Merzlikin,Male,Russia,planner
The Edge,tt1706414,2010,Vladimir Mashkov,Male,Russia,mechanic
The Snow Queen,tt2243621,2012,Anna Shurochkina,Female,Russia,queen
How I Ended This Summer,tt1588875,2010,Grigoriy Dobrygin,Male,Russia,geophysicist
Space Dogs,tt1272051,2010,Anna Bolshova,Female,Russia,scientist
Malchik i devochka,tt1934327,2010,Darya Poverennova,Female,Russia,english teacher
Match,tt2210809,2012,Sergey Bezrukov,Male,Russia,goalkeeper
Masha,tt3547890,2012,Olga Lomonosova,Female,Russia,research associate
Vysotsky. Thank You for Being Alive,tt2116974,2011,Sergey Bezrukov,Male,Russia,poet
The Hunter,tt1922675,2011,Mikhail Barskovich,Male,Russia,farmer
Brothel Lights,tt2093194,2011,Oksana Fandera,Female,Russia,poet
Za Marksa...,tt2699832,2012,Sergey Pakhomov,Male,Russia,activist
Kokoko,tt2403899,2012,Anna Mikhalkova,Female,Russia,employee
The Day of the Beast,tt1438468,2010,Johannes Van-Utr,Male,Russia,sniper
All Inclusive ili Vsyo vklyucheno!,tt1846473,2011,Mikhail Bespalov,Male,Russia,veterinarian
The Bright Side of the Moon,tt1442575,2010,Lyanka Gryu,Female,Russia,cosmonaut
Na oshchup,tt1569463,2010,Anton Shagin,Male,Russia,dentist
The Justice of Wolves,tt1119192,2010,Aleksandr Abdulov,Male,Russia,writer
Poka noch ne razluchit,tt2209180,2012,Aleksandr Yatsenko,Male,Russia,waiter
Proklyatie,tt6525458,2012,Timofey Tribuntsev,Male,Russia,actor
Punane elavhõbe,tt1668102,2010,Irina Aduson,Male,Russia,dancer
Varene iz sakury,tt1838729,2011,Mariya Aronova,Female,Russia,accountant
Ravnyaetsya odnomu Gaftu,tt14513160,2010,Valentin Gaft,Male,Russia,artist
Myortvaya probka,tt2719614,2012,Eldar Lebedev,Male,Russia,driver
Garri Khotter i Lord Obomort,tt2256862,2012,Aleksandr Anisimov,Male,Russia,minister
Devil's Pass,tt1905040,2013,Holly Goss,Male,Russia,king
Stalingrad,tt1966566,2013,Mariya Smolnikova,Female,Russia,singer
Intimate Parts,tt2934404,2013,Yuri Kolokolnikov,Male,Russia,photographer
A Warrior's Tail,tt4075322,2015,Maksim Chukharyov,Male,Russia,magician
Gagarin: First in Space,tt2856930,2013,Yaroslav Zhalnin,Male,Russia,cosmonaut
Star,tt3924450,2014,Tinatin Dalakishvili,Female,Russia,deputy
The Hangover,tt4353954,2015,Vladimir Sychyov,Male,Russia,diver
The Snow Queen 2,tt3477554,2014,Ivan Okhlobystin,Male,Russia,queen
Gorko!,tt3194532,2013,Yuliya Aleksandrova,Female,Russia,restaurant
Bez granits,tt5112966,2015,Aleksandr Adabashyan,Male,Russia,photographer
Serafima's Extraordinary Travel,tt6490604,2015,Dmitriy Filimonov,Male,Russia,doctor
"Paws, Bones & Rock'n'roll",tt4706702,2015,Anna Chipovskaya,Female,Russia,resident
All at Once,tt3805180,2014,Nikita Ost,Male,Russia,local authority
The Mystery of Snow Queen,tt5042340,2015,Anna Snatkina,Female,Russia,queen
Orlean,tt4761270,2015,Elena Lyadova,Female,Russia,executioner
Game of Truth,tt2996932,2013,Irina Apeksimova,Female,Russia,bachelor
Vesyolye rebyata;),tt4324074,2014,Ivan Dorn,Male,Russia,musician
