title,id,release_year,main_character_name,main_character_gender,country,main_character_role
The Scent of Incense,tt0058269,1964,Mariko Okada,Female,Japan,geisha
Female Teacher,tt0226253,1977,Eiko Nagashima,Female,Japan,teacher
Interpol Code 8,tt0059363,1963,Tatsuya Mihashi,Male,Japan,agent
Blue Film: Estimation,tt0211924,1968,Mari Nagisa,Female,Japan,typist
Yôen dokufu-den: Okatsu kyôjô tabi,tt0202136,1969,Junko Miyazono,Female,Japan,samurai
The Human Vapor,tt0053853,1960,Tatsuya Mihashi,Male,Japan,detective
Shikiyoku no hate,tt0210982,1968,Kaku Takashina,Male,Japan,detective
Ginchô wataridori,tt0934442,1972,Meiko Kaji,Female,Japan,hostess
Kogarashi Monjirô,tt0322981,1972,Bunta Sugawara,Male,Japan,samurai
Three Musketeers in Boots,tt1073670,1972,Yasushi Suzuki,Male,Japan,sheriff
Space Pirate Captain Harlock: The Mystery of the Arcadia,tt0185736,1978,Makio Inoue,Male,Japan,commander
The Magic Serpent,tt0060579,1966,Hiroki Matsukata,Male,Japan,ninja
Fascination: Portrait of a Lady,tt0285576,1977,Naomi Tani,Female,Japan,professor
The Ghost Story of Oiwa's Spirit,tt0122564,1961,Yoshiko Fujishiro,Female,Japan,samurai
Lost Sex,tt0060516,1966,Hideo Kanze,Male,Japan,master
Kanto Wanderer,tt0057219,1963,Akira Kobayashi,Male,Japan,artist
Grave of the Fireflies,tt0095327,1988,Tsutomu Tatsumi,Male,Japan,officer
Akira,tt0094625,1988,Mitsuo Iwata,Male,Japan,biker
My Neighbor Totoro,tt0096283,1988,Noriko Hidaka,Female,Japan,professor
Perfect Blue,tt0156887,1997,Junko Iwao,Female,Japan,actress
Kiki's Delivery Service,tt0097814,1989,Minami Takayama,Female,Japan,trainee
Nausicaä of the Valley of the Wind,tt0087544,1984,Sumi Shimamoto,Female,Japan,warrior
Mishima: A Life in Four Chapters,tt0089603,1985,Ken Ogata,Male,Japan,narrator
Dreams,tt0100998,1990,Akira Terao,Male,Japan,director
After Life,tt0165078,1998,Arata Iura,Male,Japan,counselor
Godzilla 2000: Millennium,tt0188640,1999,Takehiro Murata,Male,Japan,founder
Vampire Hunter D,tt0090248,1985,Kaneto Shiozawa,Male,Japan,hunter
Dragon Ball Z: Broly - The Legendary Super Saiyan,tt0142242,1993,Bin Shimada,Male,Japan,king
Virus: The End,tt0080768,1980,Masao Kusakari,Male,Japan,doctor
Tokyo Decadence,tt0105622,1992,Miho Nikaido,Female,Japan,prostitute
Godzilla vs. Biollante,tt0097444,1989,Kunihiko Mitamura,Male,Japan,scientist
The Return of Godzilla,tt9015178,1984,Keiju Kobayashi,Male,Japan,minister
Ring 2,tt0218553,1999,Miki Nakatani,Female,Japan,assistant
Gamera: Guardian of the Universe,tt0113142,1995,Tsuyoshi Ihara,Male,Japan,officer
Madadayo,tt0107474,1993,Tatsuo Matsumura,Male,Japan,professor
Violent Cop,tt0098360,1989,Takeshi Kitano,Male,Japan,detective
Patlabor: The Movie,tt0100339,1989,Toshio Furukawa,Male,Japan,detective
Kids Return,tt0116767,1996,Ken Kaneko,Male,Japan,boxer
Fist of the North Star,tt0142371,1986,Akira Kamiya,Male,Japan,master
Tomie,tt0240119,1998,Miho Kanno,Female,Japan,detective
Gamera 3: Revenge of Iris,tt0184503,1999,Shinobu Nakayama,Female,Japan,dr.
