title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Speed Zone,tt0098369,1989,John Candy,Male,Canada,valet
Night of the Twisters,tt0117179,1996,Devon Sawa,Male,Canada,artist
The Peanut Butter Solution,tt0089789,1985,Mathew Mackay,Male,Canada,teacher
Black Robe,tt0101465,1991,Lothaire Bluteau,Male,Canada,founder
Pin,tt0095871,1988,David Hewlett,Male,Canada,doctor
Agnes of God,tt0088683,1985,Jane Fonda,Female,Canada,dr.
The Delinquents,tt0097182,1989,Kylie Minogue,Female,Canada,caretaker
Bullet to Beijing,tt0113633,1995,Anatoly Kulbitsky,Male,Canada,prof.
The Adjuster,tt0101273,1991,Elias Koteas,Male,Canada,adjuster
Never Talk to Strangers,tt0113965,1995,Rebecca De Mornay,Female,Canada,dr.
When a Stranger Calls Back,tt0108556,1993,Carol Kane,Female,Canada,counselor
Dr. Jekyll and Ms. Hyde,tt0112895,1995,Sean Young,Female,Canada,assistant
Tanya's Island,tt0083168,1980,Vanity,Female,Canada,painter
A Secret Between Friends: A Moment of Truth Movie,tt0117583,1996,Lynda Carter,Female,Canada,archer
Little Men,tt0145048,1998,Kathleen Fee,Female,Canada,narrator
The Kiss,tt0095454,1988,Joanna Pacula,Female,Canada,conductor
"I, Madman",tt0097557,1989,Jenny Wright,Female,Canada,clerk
Scanners II: The New Order,tt0102848,1991,David Hewlett,Male,Canada,veterinarian
Copper Mountain,tt0085363,1983,Jim Carrey,Male,Canada,copper
Clearcut,tt0101592,1991,Ron Lea,Male,Canada,lawyer
August 32nd on Earth,tt0156248,1998,Pascale Bussières,Female,Canada,model
The Decline of the American Empire,tt0090985,1986,Dominique Michel,Female,Canada,professor
If You Could See What I Hear,tt0084117,1982,Marc Singer,Male,Canada,musician
Going Berserk,tt0085603,1983,John Candy,Male,Canada,drummer
Tiger Claws,tt0105592,1991,Cynthia Rothrock,Female,Canada,detective
"Paris, France",tt0107779,1993,Leslie Hope,Female,Canada,novelist
Renegades,tt0098188,1989,Kiefer Sutherland,Male,Canada,agent
Jesus of Montreal,tt0097635,1989,Lothaire Bluteau,Male,Canada,actor
Model by Day,tt0110543,1994,Famke Janssen,Female,Canada,fighter
The Legend of Sleepy Hollow,tt0214874,1999,Brent Carver,Male,Canada,schoolmaster
Calendar,tt0106504,1993,Arsinée Khanjian,Female,Canada,translator
Felix the Cat: The Movie,tt0259308,1988,Chris Phillips,Male,Canada,professor
The Vindicator,tt0092172,1986,David McIlwraith,Male,Canada,scientist
To Brave Alaska,tt0117922,1996,Alyssa Milano,Female,Canada,officer
Ticket to Heaven,tt0083201,1981,Nick Mancuso,Male,Canada,leader
Dog Park,tt0129884,1998,Natasha Henstridge,Female,Canada,clerk
Dangerous Indiscretion,tt0109532,1995,Wendy Abbott,Female,Canada,receptionist
Joy,tt0085763,1983,Claudia Udy,Female,Canada,agent
No Contest,tt0110675,1995,Shannon Tweed,Female,Canada,actress
Our Guys: Outrage at Glen Ridge,tt0199920,1999,Ally Sheedy,Female,Canada,detective
Trilogy of Terror II,tt0117966,1996,Lysette Anthony,Female,Canada,dr.
Madame Sousatzka,tt0095564,1988,Shirley MacLaine,Female,Canada,pianist
In Dark Places,tt0167207,1997,Joan Severance,Female,Canada,painter
Gas,tt0082440,1981,Susan Anspach,Female,Canada,reporter
Threshold,tt0083197,1981,Donald Sutherland,Male,Canada,dr.
Universal Soldier III: Unfinished Business,tt0186655,1998,Richard McMillan,Male,Canada,dr.
Spring Fever,tt0084718,1982,Susan Anton,Female,Canada,showgirl
Whispers,tt0100926,1990,Victoria Tennant,Female,Canada,writer
Hiroshima,tt0113309,1995,Lynne Adams,Female,Canada,reporter
The Great Land of Small,tt0093116,1986,Karen Elkin,Female,Canada,hunter
Paris by Night,tt0095823,1988,Charlotte Rampling,Female,Canada,career
Boulevard,tt0109323,1994,Rae Dawn Chong,Female,Canada,prostitute
Double Happiness,tt0109655,1994,Sandra Oh,Female,Canada,actress
Speaking Parts,tt0098368,1989,Michael McManus,Male,Canada,actor
Babar: The Movie,tt0096869,1989,Gordon Pinsent,Male,Canada,king
Intimate Relations,tt0116643,1996,Julie Walters,Female,Canada,acting
Where the Spirit Lives,tt0103244,1989,Michelle St. John,Female,Canada,agent
Married to a Stranger,tt0119624,1997,Jaclyn Smith,Female,Canada,potter
Thirty Two Short Films About Glenn Gould,tt0108328,1993,Colm Feore,Male,Canada,pianist
The Five Senses,tt0168794,1999,Molly Parker,Female,Canada,miller
The Surgeon,tt0109761,1995,Isabel Glasser,Female,Canada,dr.
American Nightmare,tt0085156,1983,Lawrence Day,Male,Canada,fixer
